FAR, col, row
00000000,0,0
00000001,0,0
00000002,0,0
00000003,0,0
00000004,0,0
00000005,0,0
00000006,0,0
00000007,0,0
00000008,0,0
00000009,0,0
00000080,1,0
00000081,1,0
00000082,1,0
00000083,1,0
00000084,1,0
00000085,1,0
00000086,1,0
00000087,1,0
00000088,1,0
00000089,1,0
0000008A,1,0
0000008B,1,0
0000008C,1,0
0000008D,1,0
0000008E,1,0
0000008F,1,0
00000100,2,0
00000101,2,0
00000102,2,0
00000103,2,0
00000104,2,0
00000105,2,0
00000106,2,0
00000107,2,0
00000108,2,0
00000109,2,0
0000010A,2,0
0000010B,2,0
0000010C,2,0
0000010D,2,0
0000010E,2,0
0000010F,2,0
00000110,2,0
00000111,2,0
00000112,2,0
00000113,2,0
00000114,2,0
00000115,2,0
00000116,2,0
00000117,2,0
00000118,2,0
00000119,2,0
0000011A,2,0
0000011B,2,0
0000011C,2,0
0000011D,2,0
0000011E,2,0
0000011F,2,0
00000120,2,0
00000121,2,0
00000122,2,0
00000123,2,0
00000124,2,0
00000125,2,0
00000126,2,0
00000127,2,0
00000128,2,0
00000129,2,0
0000012A,2,0
0000012B,2,0
0000012C,2,0
0000012D,2,0
0000012E,2,0
0000012F,2,0
00000130,2,0
00000131,2,0
00000132,2,0
00000133,2,0
00000134,2,0
00000135,2,0
00000136,2,0
00000137,2,0
00000138,2,0
00000139,2,0
00000180,3,0
00000181,3,0
00000182,3,0
00000183,3,0
00000184,3,0
00000185,3,0
00000186,3,0
00000187,3,0
00000188,3,0
00000189,3,0
0000018A,3,0
0000018B,3,0
00000200,4,0
00000201,4,0
00000202,4,0
00000203,4,0
00000204,4,0
00000205,4,0
00000206,4,0
00000207,4,0
00000208,4,0
00000209,4,0
0000020A,4,0
0000020B,4,0
00000280,5,0
00000281,5,0
00000282,5,0
00000283,5,0
00000284,5,0
00000285,5,0
00000286,5,0
00000287,5,0
00000288,5,0
00000289,5,0
0000028A,5,0
0000028B,5,0
0000028C,5,0
0000028D,5,0
0000028E,5,0
0000028F,5,0
00000290,5,0
00000291,5,0
00000292,5,0
00000293,5,0
00000294,5,0
00000295,5,0
00000296,5,0
00000297,5,0
00000298,5,0
00000299,5,0
0000029A,5,0
0000029B,5,0
0000029C,5,0
0000029D,5,0
0000029E,5,0
0000029F,5,0
000002A0,5,0
000002A1,5,0
000002A2,5,0
000002A3,5,0
000002A4,5,0
000002A5,5,0
000002A6,5,0
000002A7,5,0
000002A8,5,0
000002A9,5,0
000002AA,5,0
000002AB,5,0
000002AC,5,0
000002AD,5,0
000002AE,5,0
000002AF,5,0
000002B0,5,0
000002B1,5,0
000002B2,5,0
000002B3,5,0
000002B4,5,0
000002B5,5,0
000002B6,5,0
000002B7,5,0
000002B8,5,0
000002B9,5,0
00000300,6,0
00000301,6,0
00000302,6,0
00000303,6,0
00000304,6,0
00000305,6,0
00000306,6,0
00000307,6,0
00000308,6,0
00000309,6,0
0000030A,6,0
0000030B,6,0
00000380,7,0
00000381,7,0
00000382,7,0
00000383,7,0
00000400,8,0
00000401,8,0
00000402,8,0
00000403,8,0
00000404,8,0
00000405,8,0
00000406,8,0
00000407,8,0
00000408,8,0
00000409,8,0
0000040A,8,0
0000040B,8,0
0000040C,8,0
0000040D,8,0
0000040E,8,0
0000040F,8,0
00000410,8,0
00000411,8,0
00000412,8,0
00000413,8,0
00000414,8,0
00000415,8,0
00000416,8,0
00000417,8,0
00000418,8,0
00000419,8,0
0000041A,8,0
0000041B,8,0
0000041C,8,0
0000041D,8,0
0000041E,8,0
0000041F,8,0
00000420,8,0
00000421,8,0
00000422,8,0
00000423,8,0
00000424,8,0
00000425,8,0
00000426,8,0
00000427,8,0
00000428,8,0
00000429,8,0
0000042A,8,0
0000042B,8,0
0000042C,8,0
0000042D,8,0
0000042E,8,0
0000042F,8,0
00000430,8,0
00000431,8,0
00000432,8,0
00000433,8,0
00000434,8,0
00000435,8,0
00000436,8,0
00000437,8,0
00000438,8,0
00000439,8,0
00000480,9,0
00000481,9,0
00000482,9,0
00000483,9,0
00000484,9,0
00000485,9,0
00000486,9,0
00000487,9,0
00000488,9,0
00000489,9,0
0000048A,9,0
0000048B,9,0
00000500,A,0
00000501,A,0
00000502,A,0
00000503,A,0
00000504,A,0
00000505,A,0
00000506,A,0
00000507,A,0
00000508,A,0
00000509,A,0
0000050A,A,0
0000050B,A,0
00000580,B,0
00000581,B,0
00000582,B,0
00000583,B,0
00000584,B,0
00000585,B,0
00000586,B,0
00000587,B,0
00000588,B,0
00000589,B,0
0000058A,B,0
0000058B,B,0
0000058C,B,0
0000058D,B,0
0000058E,B,0
0000058F,B,0
00000590,B,0
00000591,B,0
00000592,B,0
00000593,B,0
00000594,B,0
00000595,B,0
00000596,B,0
00000597,B,0
00000598,B,0
00000599,B,0
0000059A,B,0
0000059B,B,0
0000059C,B,0
0000059D,B,0
0000059E,B,0
0000059F,B,0
000005A0,B,0
000005A1,B,0
000005A2,B,0
000005A3,B,0
000005A4,B,0
000005A5,B,0
000005A6,B,0
000005A7,B,0
000005A8,B,0
000005A9,B,0
000005AA,B,0
000005AB,B,0
000005AC,B,0
000005AD,B,0
000005AE,B,0
000005AF,B,0
000005B0,B,0
000005B1,B,0
000005B2,B,0
000005B3,B,0
000005B4,B,0
000005B5,B,0
000005B6,B,0
000005B7,B,0
000005B8,B,0
000005B9,B,0
00000600,C,0
00000601,C,0
00000602,C,0
00000603,C,0
00000680,D,0
00000681,D,0
00000682,D,0
00000683,D,0
00000684,D,0
00000685,D,0
00000686,D,0
00000687,D,0
00000688,D,0
00000689,D,0
0000068A,D,0
0000068B,D,0
00000700,E,0
00000701,E,0
00000702,E,0
00000703,E,0
00000704,E,0
00000705,E,0
00000706,E,0
00000707,E,0
00000708,E,0
00000709,E,0
0000070A,E,0
0000070B,E,0
0000070C,E,0
0000070D,E,0
0000070E,E,0
0000070F,E,0
00000710,E,0
00000711,E,0
00000712,E,0
00000713,E,0
00000714,E,0
00000715,E,0
00000716,E,0
00000717,E,0
00000718,E,0
00000719,E,0
0000071A,E,0
0000071B,E,0
0000071C,E,0
0000071D,E,0
0000071E,E,0
0000071F,E,0
00000720,E,0
00000721,E,0
00000722,E,0
00000723,E,0
00000724,E,0
00000725,E,0
00000726,E,0
00000727,E,0
00000728,E,0
00000729,E,0
0000072A,E,0
0000072B,E,0
0000072C,E,0
0000072D,E,0
0000072E,E,0
0000072F,E,0
00000730,E,0
00000731,E,0
00000732,E,0
00000733,E,0
00000734,E,0
00000735,E,0
00000736,E,0
00000737,E,0
00000738,E,0
00000739,E,0
00000780,F,0
00000781,F,0
00000782,F,0
00000783,F,0
00000784,F,0
00000785,F,0
00000786,F,0
00000787,F,0
00000788,F,0
00000789,F,0
0000078A,F,0
0000078B,F,0
00000800,10,0
00000801,10,0
00000802,10,0
00000803,10,0
00000804,10,0
00000805,10,0
00000806,10,0
00000807,10,0
00000808,10,0
00000809,10,0
0000080A,10,0
0000080B,10,0
00000880,11,0
00000881,11,0
00000882,11,0
00000883,11,0
00000884,11,0
00000885,11,0
00000886,11,0
00000887,11,0
00000888,11,0
00000889,11,0
0000088A,11,0
