2019-10-15 15:19:55,643 - root - INFO - Start testAll
2019-10-15 15:19:55,644 - root - INFO - Board serial number = 324
2019-10-15 15:19:57,649 - root - INFO - CRU Version: AC12387
2019-10-15 15:19:57,650 - root - INFO - RDO Version: BED27B3
2019-10-15 15:19:57,651 - root - INFO - DNA = 0x40020001012947641c604445
2019-10-15 15:19:59,219 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2019-10-15 15:19:59,220 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2019-10-15 15:19:59,221 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2019-10-15 15:20:26,428 - root - INFO - GBTx0 locked to CRU
2019-10-15 15:20:26,429 - root - INFO - GBTx2 locked to CRU
2019-10-15 15:20:26,431 - root - INFO - GBTx0(adres=367=testFuse1) = 0x30
2019-10-15 15:20:26,431 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2019-10-15 15:20:26,433 - root - INFO - GBTx1(adres=367=testFuse1) = 0x53
2019-10-15 15:20:26,433 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2019-10-15 15:20:26,435 - root - INFO - GBTx2(adres=367=testFuse1) = 0x3d
2019-10-15 15:20:26,435 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2019-10-15 15:20:26,436 - root - INFO - Number of FEC Errors at start of test = 22
2019-10-15 15:20:28,441 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2019-10-15 15:20:28,441 - root - INFO - MGT errors: 0
2019-10-15 15:20:28,442 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2019-10-15 15:20:28,442 - root - INFO - Disable DCLK
2019-10-15 15:20:28,443 - root - INFO - reset all prbs  receivers
2019-10-15 15:20:28,443 - root - INFO - clear all prbs error counters
2019-10-15 15:20:28,443 - root - INFO - inject errors
2019-10-15 15:20:28,444 - root - INFO - wait 5.0 seconds
2019-10-15 15:20:33,450 - root - INFO - sleep done
2019-10-15 15:20:33,450 - root - INFO - OK, smaError 6
2019-10-15 15:20:33,451 - root - INFO - OK, headerJ13Error0 6
2019-10-15 15:20:33,451 - root - INFO - OK, headerJ13Error1 12
2019-10-15 15:20:33,452 - root - INFO - OK, headerJ13Error2 18
2019-10-15 15:20:33,452 - root - INFO - OK, headerJ13Error3 24
2019-10-15 15:20:33,452 - root - INFO - OK, headerJ13Error4 30
2019-10-15 15:20:33,452 - root - INFO - OK, PA3headerJ14Error0 6
2019-10-15 15:20:33,453 - root - INFO - OK, PA3headerJ14Error1 12
2019-10-15 15:20:33,453 - root - INFO - OK, PA3headerJ14Error2 18
2019-10-15 15:20:33,453 - root - INFO - OK, PA3headerJ14Error3 24
2019-10-15 15:20:33,454 - root - INFO - OK, PA3headerJ14Error4 30
2019-10-15 15:20:33,454 - root - INFO - OK, PA3Error0 6
2019-10-15 15:20:33,454 - root - INFO - OK, PA3Error1 12
2019-10-15 15:20:33,454 - root - INFO - OK, PA3Error2 18
2019-10-15 15:20:33,455 - root - INFO - OK, PA3Error3 24
2019-10-15 15:20:33,455 - root - INFO - OK, PA3Error4 30
2019-10-15 15:20:33,455 - root - INFO - OK, PA3Error5 6
2019-10-15 15:20:33,456 - root - INFO - OK, PA3Error6 12
2019-10-15 15:20:33,456 - root - INFO - OK, PA3Error7 18
2019-10-15 15:20:33,456 - root - INFO - OK, PA3Error8 24
2019-10-15 15:20:33,456 - root - INFO - OK, PA3Error9 30
2019-10-15 15:20:33,457 - root - INFO - OK, DCTRLerror0 6
2019-10-15 15:20:33,457 - root - INFO - OK, DCTRLerror1 12
2019-10-15 15:20:33,457 - root - INFO - OK, DCTRLerror2 18
2019-10-15 15:20:33,458 - root - INFO - OK, DCTRLerror3 24
2019-10-15 15:20:33,458 - root - INFO - OK, DCTRLerror4 30
2019-10-15 15:20:33,459 - root - INFO - OK, DCLKBerror0 0
2019-10-15 15:20:33,459 - root - INFO - OK, DCLKBerror1 0
