2019-10-14 12:20:46,704 - root - INFO - Start testAll
2019-10-14 12:20:46,727 - root - INFO - Board serial number = 329
2019-10-14 12:20:48,733 - root - INFO - CRU Version: AC12387
2019-10-14 12:20:48,734 - root - INFO - RDO Version: B3944D5
2019-10-14 12:20:48,736 - root - INFO - DNA = 0x40020001012947641d008045
2019-10-14 12:20:50,296 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2019-10-14 12:20:50,297 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2019-10-14 12:20:50,298 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2019-10-14 12:20:54,338 - root - INFO - GBTx0 locked to CRU
2019-10-14 12:20:54,339 - root - INFO - GBTx2 locked to CRU
2019-10-14 12:20:54,341 - root - INFO - GBTx0(adres=367=testFuse1) = 0xfe
2019-10-14 12:20:54,341 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa6
2019-10-14 12:20:54,343 - root - INFO - GBTx1(adres=367=testFuse1) = 0xbe
2019-10-14 12:20:54,344 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa6
2019-10-14 12:20:54,346 - root - INFO - GBTx2(adres=367=testFuse1) = 0xa9
2019-10-14 12:20:54,346 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa6
2019-10-14 12:20:54,347 - root - INFO - Number of FEC Errors at start of test = 0
2019-10-14 12:20:56,352 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2019-10-14 12:20:56,353 - root - INFO - MGT errors: 0
2019-10-14 12:20:56,354 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2019-10-14 12:20:56,355 - root - INFO - Disable DCLK
2019-10-14 12:20:56,355 - root - INFO - reset all prbs  receivers
2019-10-14 12:20:56,356 - root - INFO - clear all prbs error counters
2019-10-14 12:20:56,356 - root - INFO - inject errors
2019-10-14 12:20:56,358 - root - INFO - wait 5.0 seconds
2019-10-14 12:21:01,363 - root - INFO - sleep done
2019-10-14 12:21:01,364 - root - INFO - OK, smaError 6
2019-10-14 12:21:01,365 - root - INFO - OK, headerJ13Error0 6
2019-10-14 12:21:01,366 - root - INFO - OK, headerJ13Error1 12
2019-10-14 12:21:01,367 - root - INFO - OK, headerJ13Error2 18
2019-10-14 12:21:01,367 - root - INFO - OK, headerJ13Error3 24
2019-10-14 12:21:01,368 - root - ERROR - headerJ13Error4 32
2019-10-14 12:21:01,377 - root - INFO - OK, PA3headerJ14Error0 6
2019-10-14 12:21:01,377 - root - INFO - OK, PA3headerJ14Error1 12
2019-10-14 12:21:01,378 - root - INFO - OK, PA3headerJ14Error2 18
2019-10-14 12:21:01,378 - root - INFO - OK, PA3headerJ14Error3 24
2019-10-14 12:21:01,378 - root - INFO - OK, PA3headerJ14Error4 30
2019-10-14 12:21:01,378 - root - INFO - OK, PA3Error0 6
2019-10-14 12:21:01,378 - root - INFO - OK, PA3Error1 12
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error2 18
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error3 24
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error4 30
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error5 6
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error6 12
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error7 18
2019-10-14 12:21:01,379 - root - INFO - OK, PA3Error8 24
2019-10-14 12:21:01,380 - root - INFO - OK, PA3Error9 30
2019-10-14 12:21:01,380 - root - INFO - OK, DCTRLerror0 6
2019-10-14 12:21:01,380 - root - INFO - OK, DCTRLerror1 12
2019-10-14 12:21:01,380 - root - INFO - OK, DCTRLerror2 18
2019-10-14 12:21:01,380 - root - INFO - OK, DCTRLerror3 24
2019-10-14 12:21:01,380 - root - INFO - OK, DCTRLerror4 30
2019-10-14 12:21:01,380 - root - INFO - OK, DCLKBerror0 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKBerror1 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKBerror2 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKBerror3 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKBerror4 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKCerror0 0
2019-10-14 12:21:01,381 - root - INFO - OK, DCLKCerror1 0
2019-10-14 12:21:01,382 - root - INFO - OK, DCLKCerror2 0
2019-10-14 12:21:01,382 - root - INFO - OK, DCLKCerror3 0
2019-10-14 12:21:01,382 - root - INFO - OK, DCLKCerror4 0
2019-10-14 12:21:01,382 - root - INFO - OK, AUXerror0 6
2019-10-14 12:21:01,382 - root - INFO - OK, AUXerror1 12
2019-10-14 12:21:01,382 - root - INFO - OK, AUXerror2 18
2019-10-14 12:21:01,382 - root - INFO - OK, AUXerror3 24
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror0 6
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror1 12
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror2 18
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror3 24
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror4 30
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror5 36
2019-10-14 12:21:01,383 - root - INFO - OK, PUerror6 42
2019-10-14 12:21:01,384 - root - INFO - OK, PUerror7 48
2019-10-14 12:21:01,384 - root - INFO - Enable DCLK
2019-10-14 12:21:01,384 - root - INFO - reset all prbs  receivers
2019-10-14 12:21:01,384 - root - INFO - clear all prbs error counters
2019-10-14 12:21:01,384 - root - INFO - inject errors
