2020-12-04 16:14:09,770 - root - INFO - Start testAll
2020-12-04 16:14:09,770 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0333
2020-12-04 16:14:11,776 - root - INFO - CRU Version: AC12387
2020-12-04 16:14:11,777 - root - INFO - RDO Version: BED27B3
2020-12-04 16:14:11,779 - root - INFO - DNA = 0x40020001012947641d30a305
2020-12-04 16:14:13,832 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-04 16:14:13,895 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-04 16:14:13,897 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-04 16:14:17,938 - root - INFO - GBTx0 locked to CRU
2020-12-04 16:14:17,939 - root - INFO - GBTx2 locked to CRU
2020-12-04 16:14:17,941 - root - INFO - GBTx0(adres=367=testFuse1) = 0xba
2020-12-04 16:14:17,941 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa6
2020-12-04 16:14:17,944 - root - INFO - GBTx1(adres=367=testFuse1) = 0xcc
2020-12-04 16:14:17,944 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa6
2020-12-04 16:14:17,947 - root - INFO - GBTx2(adres=367=testFuse1) = 0x2
2020-12-04 16:14:17,947 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-12-04 16:14:20,452 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-04 16:14:20,453 - root - INFO - MGT errors: 0
2020-12-04 16:14:20,454 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-04 16:14:20,455 - root - INFO - Disable DCLK
2020-12-04 16:14:20,455 - root - INFO - reset all prbs  receivers
2020-12-04 16:14:20,456 - root - INFO - clear all prbs error counters
2020-12-04 16:14:20,456 - root - INFO - inject errors
2020-12-04 16:14:20,459 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-04 16:14:20,460 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 224
2020-12-04 16:14:20,460 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 77
2020-12-04 16:14:20,460 - root - INFO - wait 5.0 seconds
2020-12-04 16:14:25,463 - root - INFO - sleep done
2020-12-04 16:14:25,464 - root - INFO - OK, smaError 6
2020-12-04 16:14:25,465 - root - INFO - OK, headerJ13Error0 6
2020-12-04 16:14:25,466 - root - INFO - OK, headerJ13Error1 12
2020-12-04 16:14:25,467 - root - INFO - OK, headerJ13Error2 18
2020-12-04 16:14:25,468 - root - INFO - OK, headerJ13Error3 24
2020-12-04 16:14:25,468 - root - INFO - OK, headerJ13Error4 30
2020-12-04 16:14:25,469 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-04 16:14:25,469 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-04 16:14:25,470 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-04 16:14:25,471 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-04 16:14:25,471 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-04 16:14:25,472 - root - INFO - OK, PA3Error0 6
2020-12-04 16:14:25,473 - root - INFO - OK, PA3Error1 12
2020-12-04 16:14:25,473 - root - INFO - OK, PA3Error2 18
2020-12-04 16:14:25,474 - root - INFO - OK, PA3Error3 24
2020-12-04 16:14:25,474 - root - INFO - OK, PA3Error4 30
2020-12-04 16:14:25,475 - root - INFO - OK, PA3Error5 6
2020-12-04 16:14:25,476 - root - INFO - OK, PA3Error6 12
2020-12-04 16:14:25,476 - root - INFO - OK, PA3Error7 18
2020-12-04 16:14:25,477 - root - INFO - OK, PA3Error8 24
2020-12-04 16:14:25,477 - root - INFO - OK, PA3Error9 30
2020-12-04 16:14:25,478 - root - INFO - OK, DCTRLerror0 6
2020-12-04 16:14:25,479 - root - INFO - OK, DCTRLerror1 12
2020-12-04 16:14:25,479 - root - INFO - OK, DCTRLerror2 18
2020-12-04 16:14:25,480 - root - INFO - OK, DCTRLerror3 24
2020-12-04 16:14:25,480 - root - INFO - OK, DCTRLerror4 30
2020-12-04 16:14:25,481 - root - INFO - OK, DCLKBerror0 0
2020-12-04 16:14:25,482 - root - INFO - OK, DCLKBerror1 0
2020-12-04 16:14:25,482 - root - INFO - OK, DCLKBerror2 0
2020-12-04 16:14:25,483 - root - INFO - OK, DCLKBerror3 0
2020-12-04 16:14:25,483 - root - INFO - OK, DCLKBerror4 0
2020-12-04 16:14:25,484 - root - INFO - OK, DCLKCerror0 0
2020-12-04 16:14:25,484 - root - INFO - OK, DCLKCerror1 0
2020-12-04 16:14:25,485 - root - INFO - OK, DCLKCerror2 0
2020-12-04 16:14:25,485 - root - INFO - OK, DCLKCerror3 0
2020-12-04 16:14:25,486 - root - INFO - OK, DCLKCerror4 0
2020-12-04 16:14:25,487 - root - INFO - OK, AUXerror0 6
2020-12-04 16:14:25,487 - root - INFO - OK, AUXerror1 12
2020-12-04 16:14:25,488 - root - INFO - OK, AUXerror2 18
2020-12-04 16:14:25,488 - root - INFO - OK, AUXerror3 24
2020-12-04 16:14:25,489 - root - INFO - OK, PUerror0 6
2020-12-04 16:14:25,490 - root - INFO - OK, PUerror1 12
2020-12-04 16:14:25,490 - root - INFO - OK, PUerror2 18
2020-12-04 16:14:25,491 - root - INFO - OK, PUerror3 24
2020-12-04 16:14:25,491 - root - INFO - OK, PUerror4 30
2020-12-04 16:14:25,492 - root - INFO - OK, PUerror5 36
2020-12-04 16:14:25,492 - root - INFO - OK, PUerror6 42
2020-12-04 16:14:25,493 - root - INFO - OK, PUerror7 48
2020-12-04 16:14:25,493 - root - INFO - Enable DCLK
2020-12-04 16:14:25,494 - root - INFO - reset all prbs  receivers
2020-12-04 16:14:25,494 - root - INFO - clear all prbs error counters
2020-12-04 16:14:25,494 - root - INFO - inject errors
2020-12-04 16:14:25,496 - root - INFO - wait 300 seconds
2020-12-04 16:14:25,496 - root - INFO - Number of GPIO Errors so far = 0
2020-12-04 16:14:25,496 - root - INFO - Number of MGT errors so far = 0
2020-12-04 16:19:26,180 - root - INFO - sleep done
2020-12-04 16:19:26,181 - root - INFO - OK, smaError 6
2020-12-04 16:19:26,182 - root - INFO - OK, headerJ13Error0 6
2020-12-04 16:19:26,183 - root - INFO - OK, headerJ13Error1 12
