2020-12-04 09:03:11,225 - root - INFO - Start testAll
2020-12-04 09:03:11,225 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0334
2020-12-04 09:03:13,232 - root - INFO - CRU Version: AC12387
2020-12-04 09:03:13,233 - root - INFO - RDO Version: BED27B3
2020-12-04 09:03:13,235 - root - INFO - DNA = 0x40020001012947641d310385
2020-12-04 09:03:15,288 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-04 09:03:15,289 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-04 09:03:15,291 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-04 09:03:17,324 - root - INFO - GBTx0 locked to CRU
2020-12-04 09:03:17,325 - root - INFO - GBTx2 locked to CRU
2020-12-04 09:03:17,328 - root - INFO - GBTx0(adres=367=testFuse1) = 0xc4
2020-12-04 09:03:17,328 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9c
2020-12-04 09:03:17,330 - root - INFO - GBTx1(adres=367=testFuse1) = 0x81
2020-12-04 09:03:17,331 - root - INFO - GBTx1(adres=368=testFuse2) = 0x9c
2020-12-04 09:03:17,333 - root - INFO - GBTx2(adres=367=testFuse1) = 0xd9
2020-12-04 09:03:17,333 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9c
2020-12-04 09:03:19,839 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-04 09:03:19,839 - root - INFO - MGT errors: 0
2020-12-04 09:03:19,900 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-04 09:03:19,901 - root - INFO - Disable DCLK
2020-12-04 09:03:19,901 - root - INFO - reset all prbs  receivers
2020-12-04 09:03:19,902 - root - INFO - clear all prbs error counters
2020-12-04 09:03:19,902 - root - INFO - inject errors
2020-12-04 09:03:19,906 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-04 09:03:19,906 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 96
2020-12-04 09:03:19,906 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 170
2020-12-04 09:03:19,907 - root - INFO - wait 5.0 seconds
2020-12-04 09:03:24,909 - root - INFO - sleep done
2020-12-04 09:03:24,970 - root - INFO - OK, smaError 6
2020-12-04 09:03:24,971 - root - INFO - OK, headerJ13Error0 6
2020-12-04 09:03:24,972 - root - INFO - OK, headerJ13Error1 12
2020-12-04 09:03:24,973 - root - INFO - OK, headerJ13Error2 18
2020-12-04 09:03:24,974 - root - INFO - OK, headerJ13Error3 24
2020-12-04 09:03:24,974 - root - INFO - OK, headerJ13Error4 30
2020-12-04 09:03:24,975 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-04 09:03:24,975 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-04 09:03:24,976 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-04 09:03:24,977 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-04 09:03:24,977 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-04 09:03:24,978 - root - INFO - OK, PA3Error0 6
2020-12-04 09:03:24,978 - root - INFO - OK, PA3Error1 12
2020-12-04 09:03:24,979 - root - INFO - OK, PA3Error2 18
2020-12-04 09:03:24,980 - root - INFO - OK, PA3Error3 24
2020-12-04 09:03:24,980 - root - INFO - OK, PA3Error4 30
2020-12-04 09:03:24,981 - root - INFO - OK, PA3Error5 6
2020-12-04 09:03:24,982 - root - INFO - OK, PA3Error6 12
2020-12-04 09:03:24,982 - root - INFO - OK, PA3Error7 18
2020-12-04 09:03:24,983 - root - INFO - OK, PA3Error8 24
2020-12-04 09:03:24,983 - root - INFO - OK, PA3Error9 30
2020-12-04 09:03:24,984 - root - INFO - OK, DCTRLerror0 6
2020-12-04 09:03:24,985 - root - INFO - OK, DCTRLerror1 12
2020-12-04 09:03:24,985 - root - INFO - OK, DCTRLerror2 18
2020-12-04 09:03:24,986 - root - INFO - OK, DCTRLerror3 24
2020-12-04 09:03:24,987 - root - INFO - OK, DCTRLerror4 30
2020-12-04 09:03:24,987 - root - INFO - OK, DCLKBerror0 0
2020-12-04 09:03:24,988 - root - INFO - OK, DCLKBerror1 0
2020-12-04 09:03:24,988 - root - INFO - OK, DCLKBerror2 0
2020-12-04 09:03:24,989 - root - INFO - OK, DCLKBerror3 0
2020-12-04 09:03:24,989 - root - INFO - OK, DCLKBerror4 0
