2020-12-01 09:38:39,623 - root - INFO - Start testAll
2020-12-01 09:38:39,623 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0336
2020-12-01 09:38:41,630 - root - INFO - CRU Version: AC12387
2020-12-01 09:38:41,631 - root - INFO - RDO Version: BED27B3
2020-12-01 09:38:41,633 - root - INFO - DNA = 0x40020001012947641d514485
2020-12-01 09:38:43,381 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-01 09:38:43,382 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-01 09:38:43,384 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-01 09:38:45,413 - root - INFO - GBTx0 locked to CRU
2020-12-01 09:38:45,476 - root - INFO - GBTx2 locked to CRU
2020-12-01 09:38:45,478 - root - INFO - GBTx0(adres=367=testFuse1) = 0x65
2020-12-01 09:38:45,479 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9b
2020-12-01 09:38:45,481 - root - INFO - GBTx1(adres=367=testFuse1) = 0x87
2020-12-01 09:38:45,481 - root - INFO - GBTx1(adres=368=testFuse2) = 0x9b
2020-12-01 09:38:45,484 - root - INFO - GBTx2(adres=367=testFuse1) = 0x7a
2020-12-01 09:38:45,484 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9b
2020-12-01 09:38:45,485 - root - INFO - Number of FEC Errors at start of test = 0
2020-12-01 09:38:45,486 - root - INFO - Number of FEC Errors on GBTx0 at beginning of testAll = 25
2020-12-01 09:38:45,487 - root - INFO - Number of FEC Errors on GBTx2 at beginning of testAll = 251
2020-12-01 09:38:47,993 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-01 09:38:47,994 - root - INFO - MGT errors: 0
2020-12-01 09:38:47,994 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-01 09:38:47,995 - root - INFO - Disable DCLK
2020-12-01 09:38:47,995 - root - INFO - reset all prbs  receivers
2020-12-01 09:38:47,995 - root - INFO - clear all prbs error counters
2020-12-01 09:38:47,996 - root - INFO - inject errors
2020-12-01 09:38:47,997 - root - INFO - wait 5.0 seconds
2020-12-01 09:38:53,001 - root - INFO - sleep done
2020-12-01 09:38:53,002 - root - INFO - OK, smaError 6
2020-12-01 09:38:53,003 - root - INFO - OK, headerJ13Error0 6
2020-12-01 09:38:53,004 - root - INFO - OK, headerJ13Error1 12
2020-12-01 09:38:53,005 - root - INFO - OK, headerJ13Error2 18
2020-12-01 09:38:53,005 - root - INFO - OK, headerJ13Error3 24
2020-12-01 09:38:53,006 - root - INFO - OK, headerJ13Error4 30
2020-12-01 09:38:53,007 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-01 09:38:53,007 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-01 09:38:53,008 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-01 09:38:53,008 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-01 09:38:53,009 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-01 09:38:53,009 - root - INFO - OK, PA3Error0 6
2020-12-01 09:38:53,010 - root - INFO - OK, PA3Error1 12
2020-12-01 09:38:53,011 - root - INFO - OK, PA3Error2 18
2020-12-01 09:38:53,011 - root - INFO - OK, PA3Error3 24
2020-12-01 09:38:53,012 - root - INFO - OK, PA3Error4 30
2020-12-01 09:38:53,012 - root - INFO - OK, PA3Error5 6
2020-12-01 09:38:53,013 - root - INFO - OK, PA3Error6 12
2020-12-01 09:38:53,013 - root - INFO - OK, PA3Error7 18
2020-12-01 09:38:53,014 - root - INFO - OK, PA3Error8 24
2020-12-01 09:38:53,015 - root - INFO - OK, PA3Error9 30
2020-12-01 09:38:53,015 - root - INFO - OK, DCTRLerror0 6
2020-12-01 09:38:53,016 - root - INFO - OK, DCTRLerror1 12
2020-12-01 09:38:53,016 - root - INFO - OK, DCTRLerror2 18
2020-12-01 09:38:53,017 - root - INFO - OK, DCTRLerror3 24
2020-12-01 09:38:53,017 - root - INFO - OK, DCTRLerror4 30
2020-12-01 09:38:53,018 - root - INFO - OK, DCLKBerror0 0
2020-12-01 09:38:53,018 - root - INFO - OK, DCLKBerror1 0
2020-12-01 09:38:53,019 - root - INFO - OK, DCLKBerror2 0
2020-12-01 09:38:53,019 - root - INFO - OK, DCLKBerror3 0
2020-12-01 09:38:53,019 - root - INFO - OK, DCLKBerror4 0
2020-12-01 09:38:53,020 - root - INFO - OK, DCLKCerror0 0
2020-12-01 09:38:53,020 - root - INFO - OK, DCLKCerror1 0
2020-12-01 09:38:53,020 - root - INFO - OK, DCLKCerror2 0
2020-12-01 09:38:53,020 - root - INFO - OK, DCLKCerror3 0
2020-12-01 09:38:53,020 - root - INFO - OK, DCLKCerror4 0
2020-12-01 09:38:53,020 - root - INFO - OK, AUXerror0 6
2020-12-01 09:38:53,021 - root - INFO - OK, AUXerror1 12
2020-12-01 09:38:53,021 - root - INFO - OK, AUXerror2 18
2020-12-01 09:38:53,021 - root - INFO - OK, AUXerror3 24
2020-12-01 09:38:53,021 - root - INFO - OK, PUerror0 6
2020-12-01 09:38:53,021 - root - INFO - OK, PUerror1 12
2020-12-01 09:38:53,021 - root - INFO - OK, PUerror2 18
2020-12-01 09:38:53,021 - root - INFO - OK, PUerror3 24
2020-12-01 09:38:53,022 - root - INFO - OK, PUerror4 30
2020-12-01 09:38:53,022 - root - INFO - OK, PUerror5 36
2020-12-01 09:38:53,022 - root - INFO - OK, PUerror6 42
2020-12-01 09:38:53,022 - root - INFO - OK, PUerror7 48
2020-12-01 09:38:53,022 - root - INFO - Enable DCLK
2020-12-01 09:38:53,022 - root - INFO - reset all prbs  receivers
2020-12-01 09:38:53,023 - root - INFO - clear all prbs error counters
2020-12-01 09:38:53,023 - root - INFO - inject errors
2020-12-01 09:38:53,023 - root - INFO - wait 300 seconds
2020-12-01 09:38:53,023 - root - INFO - Number of GPIO Errors so far = 0
2020-12-01 09:38:53,023 - root - INFO - Number of MGT errors so far = 0
2020-12-01 09:43:53,817 - root - INFO - sleep done
2020-12-01 09:43:53,818 - root - INFO - OK, smaError 6
2020-12-01 09:43:53,819 - root - INFO - OK, headerJ13Error0 6
2020-12-01 09:43:53,820 - root - INFO - OK, headerJ13Error1 12
2020-12-01 09:43:53,821 - root - INFO - OK, headerJ13Error2 18
2020-12-01 09:43:53,821 - root - INFO - OK, headerJ13Error3 24
2020-12-01 09:43:53,822 - root - INFO - OK, headerJ13Error4 30
2020-12-01 09:43:53,823 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-01 09:43:53,824 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-01 09:43:53,825 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-01 09:43:53,826 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-01 09:43:53,827 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-01 09:43:53,827 - root - INFO - OK, PA3Error0 6
2020-12-01 09:43:53,828 - root - INFO - OK, PA3Error1 12
2020-12-01 09:43:53,829 - root - INFO - OK, PA3Error2 18
2020-12-01 09:43:53,829 - root - INFO - OK, PA3Error3 24
2020-12-01 09:43:53,830 - root - INFO - OK, PA3Error4 30
2020-12-01 09:43:53,831 - root - INFO - OK, PA3Error5 6
2020-12-01 09:43:53,831 - root - INFO - OK, PA3Error6 12
2020-12-01 09:43:53,832 - root - INFO - OK, PA3Error7 18
2020-12-01 09:43:53,833 - root - INFO - OK, PA3Error8 24
2020-12-01 09:43:53,833 - root - INFO - OK, PA3Error9 30
2020-12-01 09:43:53,834 - root - INFO - OK, DCTRLerror0 6
2020-12-01 09:43:53,835 - root - INFO - OK, DCTRLerror1 12
2020-12-01 09:43:53,836 - root - INFO - OK, DCTRLerror2 18
2020-12-01 09:43:53,836 - root - INFO - OK, DCTRLerror3 24
2020-12-01 09:43:53,837 - root - INFO - OK, DCTRLerror4 30
2020-12-01 09:43:53,838 - root - INFO - OK, DCLKBerror0 6
2020-12-01 09:43:53,839 - root - INFO - OK, DCLKBerror1 12
2020-12-01 09:43:53,839 - root - INFO - OK, DCLKBerror2 18
2020-12-01 09:43:53,840 - root - INFO - OK, DCLKBerror3 24
2020-12-01 09:43:53,840 - root - INFO - OK, DCLKBerror4 30
2020-12-01 09:43:53,841 - root - INFO - OK, DCLKCerror0 6
2020-12-01 09:43:53,842 - root - INFO - OK, DCLKCerror1 12
2020-12-01 09:43:53,842 - root - INFO - OK, DCLKCerror2 18
2020-12-01 09:43:53,843 - root - INFO - OK, DCLKCerror3 24
2020-12-01 09:43:53,844 - root - INFO - OK, DCLKCerror4 30
2020-12-01 09:43:53,844 - root - INFO - OK, AUXerror0 6
2020-12-01 09:43:53,845 - root - INFO - OK, AUXerror1 12
2020-12-01 09:43:53,846 - root - INFO - OK, AUXerror2 18
2020-12-01 09:43:53,846 - root - INFO - OK, AUXerror3 24
2020-12-01 09:43:53,847 - root - INFO - OK, PUerror0 6
2020-12-01 09:43:53,848 - root - INFO - OK, PUerror1 12
2020-12-01 09:43:53,848 - root - INFO - OK, PUerror2 18
2020-12-01 09:43:53,849 - root - INFO - OK, PUerror3 24
2020-12-01 09:43:53,849 - root - INFO - OK, PUerror4 30
2020-12-01 09:43:53,850 - root - INFO - OK, PUerror5 36
2020-12-01 09:43:53,851 - root - INFO - OK, PUerror6 42
2020-12-01 09:43:53,851 - root - INFO - OK, PUerror7 48
2020-12-01 09:43:53,852 - root - INFO - OK, PRBS counter 0 = 1
2020-12-01 09:43:53,853 - root - INFO - OK, PRBS counter 1 = 1
2020-12-01 09:43:53,854 - root - INFO - OK, PRBS counter 2 = 1
2020-12-01 09:43:53,854 - root - INFO - OK, PRBS counter 3 = 1
2020-12-01 09:43:53,855 - root - INFO - OK, PRBS counter 4 = 1
2020-12-01 09:43:53,856 - root - INFO - OK, PRBS counter 5 = 1
2020-12-01 09:43:53,856 - root - INFO - OK, PRBS counter 6 = 1
2020-12-01 09:43:53,857 - root - INFO - OK, PRBS counter 7 = 1
2020-12-01 09:43:53,858 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-12-01 09:43:53,859 - root - INFO - OK, PRBS counter 9 = 1
2020-12-01 09:43:53,859 - root - INFO - OK, PRBS counter 10 = 1
2020-12-01 09:43:53,860 - root - INFO - OK, PRBS counter 11 = 1
2020-12-01 09:43:53,860 - root - INFO - OK, PRBS counter 12 = 1
2020-12-01 09:43:53,861 - root - INFO - OK, PRBS counter 13 = 1
2020-12-01 09:43:53,862 - root - INFO - OK, PRBS counter 14 = 1
2020-12-01 09:43:53,862 - root - INFO - OK, PRBS counter 15 = 1
2020-12-01 09:43:53,863 - root - INFO - OK, PRBS counter 16 = 1
