2020-12-04 09:51:57,802 - root - INFO - Start testAll
2020-12-04 09:51:57,802 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0339
2020-12-04 09:51:59,809 - root - INFO - CRU Version: AC12387
2020-12-04 09:51:59,810 - root - INFO - RDO Version: BED27B3
2020-12-04 09:51:59,813 - root - INFO - DNA = 0x40020001012947641d90c585
2020-12-04 09:52:01,866 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-04 09:52:01,868 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-04 09:52:01,869 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-04 09:52:05,912 - root - INFO - GBTx0 locked to CRU
2020-12-04 09:52:05,914 - root - INFO - GBTx2 locked to CRU
2020-12-04 09:52:05,916 - root - INFO - GBTx0(adres=367=testFuse1) = 0x97
2020-12-04 09:52:05,917 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9c
2020-12-04 09:52:05,919 - root - INFO - GBTx1(adres=367=testFuse1) = 0xb9
2020-12-04 09:52:05,919 - root - INFO - GBTx1(adres=368=testFuse2) = 0x9c
2020-12-04 09:52:05,921 - root - INFO - GBTx2(adres=367=testFuse1) = 0xa2
2020-12-04 09:52:05,922 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9c
2020-12-04 09:52:08,428 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-04 09:52:08,429 - root - INFO - MGT errors: 0
2020-12-04 09:52:08,430 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-04 09:52:08,431 - root - INFO - Disable DCLK
2020-12-04 09:52:08,431 - root - INFO - reset all prbs  receivers
2020-12-04 09:52:08,431 - root - INFO - clear all prbs error counters
2020-12-04 09:52:08,432 - root - INFO - inject errors
2020-12-04 09:52:08,435 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-04 09:52:08,435 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 189
2020-12-04 09:52:08,436 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 196
2020-12-04 09:52:08,436 - root - INFO - wait 5.0 seconds
2020-12-04 09:52:13,439 - root - INFO - sleep done
2020-12-04 09:52:13,440 - root - INFO - OK, smaError 6
2020-12-04 09:52:13,441 - root - INFO - OK, headerJ13Error0 6
2020-12-04 09:52:13,442 - root - INFO - OK, headerJ13Error1 12
2020-12-04 09:52:13,443 - root - INFO - OK, headerJ13Error2 18
2020-12-04 09:52:13,443 - root - INFO - OK, headerJ13Error3 24
2020-12-04 09:52:13,444 - root - INFO - OK, headerJ13Error4 30
2020-12-04 09:52:13,445 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-04 09:52:13,445 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-04 09:52:13,446 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-04 09:52:13,447 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-04 09:52:13,447 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-04 09:52:13,448 - root - INFO - OK, PA3Error0 6
2020-12-04 09:52:13,449 - root - INFO - OK, PA3Error1 12
2020-12-04 09:52:13,449 - root - INFO - OK, PA3Error2 18
2020-12-04 09:52:13,450 - root - INFO - OK, PA3Error3 24
2020-12-04 09:52:13,451 - root - INFO - OK, PA3Error4 30
2020-12-04 09:52:13,451 - root - INFO - OK, PA3Error5 6
2020-12-04 09:52:13,452 - root - INFO - OK, PA3Error6 12
2020-12-04 09:52:13,452 - root - INFO - OK, PA3Error7 18
2020-12-04 09:52:13,453 - root - INFO - OK, PA3Error8 24
2020-12-04 09:52:13,454 - root - INFO - OK, PA3Error9 30
2020-12-04 09:52:13,454 - root - INFO - OK, DCTRLerror0 6
2020-12-04 09:52:13,455 - root - INFO - OK, DCTRLerror1 12
2020-12-04 09:52:13,455 - root - INFO - OK, DCTRLerror2 18
2020-12-04 09:52:13,456 - root - INFO - OK, DCTRLerror3 24
2020-12-04 09:52:13,457 - root - INFO - OK, DCTRLerror4 30
2020-12-04 09:52:13,457 - root - INFO - OK, DCLKBerror0 0
2020-12-04 09:52:13,458 - root - INFO - OK, DCLKBerror1 0
2020-12-04 09:52:13,458 - root - INFO - OK, DCLKBerror2 0
2020-12-04 09:52:13,459 - root - INFO - OK, DCLKBerror3 0
2020-12-04 09:52:13,459 - root - INFO - OK, DCLKBerror4 0
2020-12-04 09:52:13,460 - root - INFO - OK, DCLKCerror0 0
2020-12-04 09:52:13,461 - root - INFO - OK, DCLKCerror1 0
2020-12-04 09:52:13,461 - root - INFO - OK, DCLKCerror2 0
2020-12-04 09:52:13,462 - root - INFO - OK, DCLKCerror3 0
2020-12-04 09:52:13,462 - root - INFO - OK, DCLKCerror4 0
2020-12-04 09:52:13,463 - root - INFO - OK, AUXerror0 6
2020-12-04 09:52:13,464 - root - INFO - OK, AUXerror1 12
2020-12-04 09:52:13,464 - root - INFO - OK, AUXerror2 18
2020-12-04 09:52:13,465 - root - INFO - OK, AUXerror3 24
2020-12-04 09:52:13,466 - root - INFO - OK, PUerror0 6
2020-12-04 09:52:13,466 - root - INFO - OK, PUerror1 12
2020-12-04 09:52:13,467 - root - INFO - OK, PUerror2 18
2020-12-04 09:52:13,468 - root - INFO - OK, PUerror3 24
2020-12-04 09:52:13,468 - root - INFO - OK, PUerror4 30
2020-12-04 09:52:13,469 - root - INFO - OK, PUerror5 36
2020-12-04 09:52:13,469 - root - INFO - OK, PUerror6 42
2020-12-04 09:52:13,470 - root - INFO - OK, PUerror7 48
2020-12-04 09:52:13,470 - root - INFO - Enable DCLK
2020-12-04 09:52:13,471 - root - INFO - reset all prbs  receivers
2020-12-04 09:52:13,471 - root - INFO - clear all prbs error counters
2020-12-04 09:52:13,471 - root - INFO - inject errors
2020-12-04 09:52:13,473 - root - INFO - wait 300 seconds
2020-12-04 09:52:13,473 - root - INFO - Number of GPIO Errors so far = 0
2020-12-04 09:52:13,473 - root - INFO - Number of MGT errors so far = 0
2020-12-04 09:57:14,178 - root - INFO - sleep done
2020-12-04 09:57:14,179 - root - INFO - OK, smaError 6
2020-12-04 09:57:14,180 - root - INFO - OK, headerJ13Error0 6
2020-12-04 09:57:14,181 - root - INFO - OK, headerJ13Error1 12
2020-12-04 09:57:14,182 - root - INFO - OK, headerJ13Error2 18
2020-12-04 09:57:14,182 - root - INFO - OK, headerJ13Error3 24
2020-12-04 09:57:14,182 - root - INFO - OK, headerJ13Error4 30
2020-12-04 09:57:14,182 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-04 09:57:14,182 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-04 09:57:14,183 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-04 09:57:14,183 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-04 09:57:14,183 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-04 09:57:14,183 - root - INFO - OK, PA3Error0 6
2020-12-04 09:57:14,183 - root - INFO - OK, PA3Error1 12
2020-12-04 09:57:14,183 - root - INFO - OK, PA3Error2 18
2020-12-04 09:57:14,183 - root - INFO - OK, PA3Error3 24
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error4 30
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error5 6
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error6 12
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error7 18
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error8 24
2020-12-04 09:57:14,184 - root - INFO - OK, PA3Error9 30
2020-12-04 09:57:14,184 - root - INFO - OK, DCTRLerror0 6
2020-12-04 09:57:14,184 - root - INFO - OK, DCTRLerror1 12
2020-12-04 09:57:14,185 - root - INFO - OK, DCTRLerror2 18
2020-12-04 09:57:14,185 - root - INFO - OK, DCTRLerror3 24
2020-12-04 09:57:14,185 - root - INFO - OK, DCTRLerror4 30
2020-12-04 09:57:14,185 - root - INFO - OK, DCLKBerror0 6
2020-12-04 09:57:14,185 - root - INFO - OK, DCLKBerror1 12
2020-12-04 09:57:14,185 - root - INFO - OK, DCLKBerror2 18
2020-12-04 09:57:14,185 - root - INFO - OK, DCLKBerror3 24
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKBerror4 30
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKCerror0 6
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKCerror1 12
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKCerror2 18
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKCerror3 24
2020-12-04 09:57:14,186 - root - INFO - OK, DCLKCerror4 30
2020-12-04 09:57:14,186 - root - INFO - OK, AUXerror0 6
2020-12-04 09:57:14,186 - root - INFO - OK, AUXerror1 12
2020-12-04 09:57:14,187 - root - INFO - OK, AUXerror2 18
2020-12-04 09:57:14,187 - root - INFO - OK, AUXerror3 24
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror0 6
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror1 12
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror2 18
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror3 24
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror4 30
2020-12-04 09:57:14,187 - root - INFO - OK, PUerror5 36
2020-12-04 09:57:14,188 - root - INFO - OK, PUerror6 42
2020-12-04 09:57:14,188 - root - INFO - OK, PUerror7 48
2020-12-04 09:57:14,188 - root - INFO - OK, PRBS counter 0 = 1
2020-12-04 09:57:14,188 - root - INFO - OK, PRBS counter 1 = 1
2020-12-04 09:57:14,188 - root - INFO - OK, PRBS counter 2 = 1
2020-12-04 09:57:14,189 - root - INFO - OK, PRBS counter 3 = 1
2020-12-04 09:57:14,189 - root - INFO - OK, PRBS counter 4 = 1
2020-12-04 09:57:14,189 - root - INFO - OK, PRBS counter 5 = 1
2020-12-04 09:57:14,189 - root - INFO - OK, PRBS counter 6 = 1
2020-12-04 09:57:14,190 - root - INFO - OK, PRBS counter 7 = 1
2020-12-04 09:57:14,190 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-12-04 09:57:14,190 - root - INFO - OK, PRBS counter 9 = 1
