2020-10-29 16:26:42,155 - root - INFO - Start testAll
2020-10-29 16:26:42,156 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0343
2020-10-29 16:26:44,159 - root - INFO - CRU Version: AC12387
2020-10-29 16:26:44,160 - root - INFO - RDO Version: BED27B3
2020-10-29 16:26:44,160 - root - INFO - DNA = 0x40020001012947641c604305
2020-10-29 16:26:45,713 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-10-29 16:26:45,715 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-10-29 16:26:45,716 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-10-29 16:26:49,757 - root - INFO - GBTx0 locked to CRU
2020-10-29 16:26:49,759 - root - INFO - GBTx2 locked to CRU
2020-10-29 16:26:49,761 - root - INFO - GBTx0(adres=367=testFuse1) = 0x5e
2020-10-29 16:26:49,761 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2020-10-29 16:26:49,764 - root - INFO - GBTx1(adres=367=testFuse1) = 0x24
2020-10-29 16:26:49,764 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2020-10-29 16:26:49,767 - root - INFO - GBTx2(adres=367=testFuse1) = 0x15
2020-10-29 16:26:49,767 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-10-29 16:26:49,768 - root - INFO - Number of FEC Errors at start of test = 0
2020-10-29 16:26:51,774 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-10-29 16:26:51,775 - root - INFO - MGT errors: 0
2020-10-29 16:26:51,776 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-10-29 16:26:51,776 - root - INFO - Disable DCLK
2020-10-29 16:26:51,777 - root - INFO - reset all prbs  receivers
2020-10-29 16:26:51,777 - root - INFO - clear all prbs error counters
2020-10-29 16:26:51,777 - root - INFO - inject errors
2020-10-29 16:26:51,779 - root - INFO - wait 5.0 seconds
2020-10-29 16:26:56,785 - root - INFO - sleep done
2020-10-29 16:26:56,786 - root - INFO - OK, smaError 6
2020-10-29 16:26:56,787 - root - INFO - OK, headerJ13Error0 6
2020-10-29 16:26:56,788 - root - INFO - OK, headerJ13Error1 12
2020-10-29 16:26:56,788 - root - INFO - OK, headerJ13Error2 18
2020-10-29 16:26:56,789 - root - INFO - OK, headerJ13Error3 24
2020-10-29 16:26:56,790 - root - INFO - OK, headerJ13Error4 30
2020-10-29 16:26:56,790 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-29 16:26:56,791 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-29 16:26:56,792 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-29 16:26:56,792 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-29 16:26:56,793 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-29 16:26:56,793 - root - INFO - OK, PA3Error0 6
2020-10-29 16:26:56,794 - root - INFO - OK, PA3Error1 12
2020-10-29 16:26:56,795 - root - INFO - OK, PA3Error2 18
2020-10-29 16:26:56,795 - root - INFO - OK, PA3Error3 24
2020-10-29 16:26:56,796 - root - INFO - OK, PA3Error4 30
2020-10-29 16:26:56,797 - root - INFO - OK, PA3Error5 6
2020-10-29 16:26:56,797 - root - INFO - OK, PA3Error6 12
2020-10-29 16:26:56,798 - root - INFO - OK, PA3Error7 18
2020-10-29 16:26:56,799 - root - INFO - OK, PA3Error8 24
2020-10-29 16:26:56,799 - root - INFO - OK, PA3Error9 30
2020-10-29 16:26:56,800 - root - INFO - OK, DCTRLerror0 6
2020-10-29 16:26:56,801 - root - INFO - OK, DCTRLerror1 12
2020-10-29 16:26:56,802 - root - INFO - OK, DCTRLerror2 18
2020-10-29 16:26:56,802 - root - INFO - OK, DCTRLerror3 24
2020-10-29 16:26:56,803 - root - INFO - OK, DCTRLerror4 30
2020-10-29 16:26:56,804 - root - INFO - OK, DCLKBerror0 0
2020-10-29 16:26:56,805 - root - INFO - OK, DCLKBerror1 0
2020-10-29 16:26:56,805 - root - INFO - OK, DCLKBerror2 0
2020-10-29 16:26:56,806 - root - INFO - OK, DCLKBerror3 0
2020-10-29 16:26:56,806 - root - INFO - OK, DCLKBerror4 0
2020-10-29 16:26:56,807 - root - INFO - OK, DCLKCerror0 0
2020-10-29 16:26:56,808 - root - INFO - OK, DCLKCerror1 0
2020-10-29 16:26:56,808 - root - INFO - OK, DCLKCerror2 0
