2020-10-28 15:58:18,233 - root - INFO - Start testAll
2020-10-28 15:58:18,233 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0344
2020-10-28 15:58:20,240 - root - INFO - CRU Version: AC12387
2020-10-28 15:58:20,241 - root - INFO - RDO Version: BED27B3
2020-10-28 15:58:20,243 - root - INFO - DNA = 0x40020001012947641c60c185
2020-10-28 15:58:21,796 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-10-28 15:58:21,798 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-10-28 15:58:21,800 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-10-28 15:58:25,839 - root - INFO - GBTx0 locked to CRU
2020-10-28 15:58:25,840 - root - INFO - GBTx2 locked to CRU
2020-10-28 15:58:25,842 - root - INFO - GBTx0(adres=367=testFuse1) = 0x25
2020-10-28 15:58:25,843 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2020-10-28 15:58:25,845 - root - INFO - GBTx1(adres=367=testFuse1) = 0x45
2020-10-28 15:58:25,846 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2020-10-28 15:58:25,848 - root - INFO - GBTx2(adres=367=testFuse1) = 0x3a
2020-10-28 15:58:25,848 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-10-28 15:58:25,849 - root - INFO - Number of FEC Errors at start of test = 0
2020-10-28 15:58:27,854 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-10-28 15:58:27,854 - root - INFO - MGT errors: 0
2020-10-28 15:58:27,855 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-10-28 15:58:27,855 - root - INFO - Disable DCLK
2020-10-28 15:58:27,856 - root - INFO - reset all prbs  receivers
2020-10-28 15:58:27,856 - root - INFO - clear all prbs error counters
2020-10-28 15:58:27,856 - root - INFO - inject errors
2020-10-28 15:58:27,857 - root - INFO - wait 5.0 seconds
2020-10-28 15:58:32,863 - root - INFO - sleep done
2020-10-28 15:58:32,864 - root - INFO - OK, smaError 6
2020-10-28 15:58:32,864 - root - INFO - OK, headerJ13Error0 6
2020-10-28 15:58:32,865 - root - INFO - OK, headerJ13Error1 12
2020-10-28 15:58:32,866 - root - INFO - OK, headerJ13Error2 18
2020-10-28 15:58:32,866 - root - INFO - OK, headerJ13Error3 24
2020-10-28 15:58:32,867 - root - INFO - OK, headerJ13Error4 30
2020-10-28 15:58:32,867 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-28 15:58:32,868 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-28 15:58:32,868 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-28 15:58:32,868 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-28 15:58:32,868 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error0 6
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error1 12
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error2 18
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error3 24
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error4 30
2020-10-28 15:58:32,869 - root - INFO - OK, PA3Error5 6
2020-10-28 15:58:32,870 - root - INFO - OK, PA3Error6 12
2020-10-28 15:58:32,870 - root - INFO - OK, PA3Error7 18
2020-10-28 15:58:32,870 - root - INFO - OK, PA3Error8 24
2020-10-28 15:58:32,870 - root - INFO - OK, PA3Error9 30
2020-10-28 15:58:32,870 - root - INFO - OK, DCTRLerror0 6
2020-10-28 15:58:32,870 - root - INFO - OK, DCTRLerror1 12
2020-10-28 15:58:32,871 - root - INFO - OK, DCTRLerror2 18
2020-10-28 15:58:32,871 - root - INFO - OK, DCTRLerror3 24
2020-10-28 15:58:32,871 - root - INFO - OK, DCTRLerror4 30
2020-10-28 15:58:32,871 - root - INFO - OK, DCLKBerror0 0
2020-10-28 15:58:32,871 - root - INFO - OK, DCLKBerror1 0
2020-10-28 15:58:32,871 - root - INFO - OK, DCLKBerror2 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKBerror3 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKBerror4 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKCerror0 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKCerror1 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKCerror2 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKCerror3 0
2020-10-28 15:58:32,872 - root - INFO - OK, DCLKCerror4 0
2020-10-28 15:58:32,872 - root - INFO - OK, AUXerror0 6
2020-10-28 15:58:32,873 - root - INFO - OK, AUXerror1 12
2020-10-28 15:58:32,873 - root - INFO - OK, AUXerror2 18
2020-10-28 15:58:32,873 - root - INFO - OK, AUXerror3 24
2020-10-28 15:58:32,873 - root - INFO - OK, PUerror0 6
2020-10-28 15:58:32,873 - root - INFO - OK, PUerror1 12
2020-10-28 15:58:32,873 - root - INFO - OK, PUerror2 18
2020-10-28 15:58:32,873 - root - INFO - OK, PUerror3 24
2020-10-28 15:58:32,874 - root - INFO - OK, PUerror4 30
2020-10-28 15:58:32,874 - root - INFO - OK, PUerror5 36
2020-10-28 15:58:32,874 - root - INFO - OK, PUerror6 42
2020-10-28 15:58:32,874 - root - INFO - OK, PUerror7 48
2020-10-28 15:58:32,874 - root - INFO - Enable DCLK
2020-10-28 15:58:32,874 - root - INFO - reset all prbs  receivers
2020-10-28 15:58:32,874 - root - INFO - clear all prbs error counters
2020-10-28 15:58:32,874 - root - INFO - inject errors
2020-10-28 15:58:32,875 - root - INFO - wait 300 seconds
2020-10-28 15:58:32,875 - root - INFO - Number of GPIO Errors so far = 0
2020-10-28 15:58:32,875 - root - INFO - Number of MGT errors so far = 0
2020-10-28 16:03:33,550 - root - INFO - sleep done
2020-10-28 16:03:33,551 - root - INFO - OK, smaError 6
2020-10-28 16:03:33,552 - root - INFO - OK, headerJ13Error0 6
2020-10-28 16:03:33,553 - root - INFO - OK, headerJ13Error1 12
2020-10-28 16:03:33,554 - root - INFO - OK, headerJ13Error2 18
2020-10-28 16:03:33,554 - root - INFO - OK, headerJ13Error3 24
2020-10-28 16:03:33,555 - root - INFO - OK, headerJ13Error4 30
2020-10-28 16:03:33,556 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-28 16:03:33,556 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-28 16:03:33,557 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-28 16:03:33,557 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-28 16:03:33,558 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-28 16:03:33,559 - root - INFO - OK, PA3Error0 6
2020-10-28 16:03:33,559 - root - INFO - OK, PA3Error1 12
2020-10-28 16:03:33,560 - root - INFO - OK, PA3Error2 18
2020-10-28 16:03:33,560 - root - INFO - OK, PA3Error3 24
2020-10-28 16:03:33,561 - root - INFO - OK, PA3Error4 30
2020-10-28 16:03:33,562 - root - INFO - OK, PA3Error5 6
2020-10-28 16:03:33,562 - root - INFO - OK, PA3Error6 12
2020-10-28 16:03:33,563 - root - INFO - OK, PA3Error7 18
2020-10-28 16:03:33,564 - root - INFO - OK, PA3Error8 24
2020-10-28 16:03:33,564 - root - INFO - OK, PA3Error9 30
2020-10-28 16:03:33,565 - root - INFO - OK, DCTRLerror0 6
2020-10-28 16:03:33,565 - root - INFO - OK, DCTRLerror1 12
2020-10-28 16:03:33,566 - root - INFO - OK, DCTRLerror2 18
2020-10-28 16:03:33,567 - root - INFO - OK, DCTRLerror3 24
2020-10-28 16:03:33,567 - root - INFO - OK, DCTRLerror4 30
2020-10-28 16:03:33,568 - root - INFO - OK, DCLKBerror0 6
2020-10-28 16:03:33,568 - root - INFO - OK, DCLKBerror1 12
2020-10-28 16:03:33,569 - root - INFO - OK, DCLKBerror2 18
2020-10-28 16:03:33,570 - root - INFO - OK, DCLKBerror3 24
2020-10-28 16:03:33,570 - root - INFO - OK, DCLKBerror4 30
2020-10-28 16:03:33,570 - root - INFO - OK, DCLKCerror0 6
2020-10-28 16:03:33,570 - root - INFO - OK, DCLKCerror1 12
2020-10-28 16:03:33,570 - root - INFO - OK, DCLKCerror2 18
2020-10-28 16:03:33,571 - root - INFO - OK, DCLKCerror3 24
2020-10-28 16:03:33,571 - root - INFO - OK, DCLKCerror4 30
2020-10-28 16:03:33,571 - root - INFO - OK, AUXerror0 6
2020-10-28 16:03:33,571 - root - INFO - OK, AUXerror1 12
2020-10-28 16:03:33,571 - root - INFO - OK, AUXerror2 18
2020-10-28 16:03:33,572 - root - INFO - OK, AUXerror3 24
2020-10-28 16:03:33,572 - root - INFO - OK, PUerror0 6
2020-10-28 16:03:33,572 - root - INFO - OK, PUerror1 12
2020-10-28 16:03:33,572 - root - INFO - OK, PUerror2 18
2020-10-28 16:03:33,572 - root - INFO - OK, PUerror3 24
2020-10-28 16:03:33,572 - root - INFO - OK, PUerror4 30
2020-10-28 16:03:33,573 - root - INFO - OK, PUerror5 36
2020-10-28 16:03:33,573 - root - INFO - OK, PUerror6 42
2020-10-28 16:03:33,573 - root - INFO - OK, PUerror7 48
2020-10-28 16:03:33,573 - root - INFO - OK, PRBS counter 0 = 1
2020-10-28 16:03:33,573 - root - INFO - OK, PRBS counter 1 = 1
2020-10-28 16:03:33,574 - root - INFO - OK, PRBS counter 2 = 1
2020-10-28 16:03:33,574 - root - INFO - OK, PRBS counter 3 = 1
2020-10-28 16:03:33,574 - root - INFO - OK, PRBS counter 4 = 1
2020-10-28 16:03:33,574 - root - INFO - OK, PRBS counter 5 = 1
2020-10-28 16:03:33,575 - root - INFO - OK, PRBS counter 6 = 1
2020-10-28 16:03:33,575 - root - INFO - OK, PRBS counter 7 = 1
2020-10-28 16:03:33,575 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-10-28 16:03:33,575 - root - INFO - OK, PRBS counter 9 = 1
2020-10-28 16:03:33,575 - root - INFO - OK, PRBS counter 10 = 1
2020-10-28 16:03:33,576 - root - INFO - OK, PRBS counter 11 = 1
2020-10-28 16:03:33,576 - root - INFO - OK, PRBS counter 12 = 1
2020-10-28 16:03:33,576 - root - INFO - OK, PRBS counter 13 = 1
2020-10-28 16:03:33,576 - root - INFO - OK, PRBS counter 14 = 1
2020-10-28 16:03:33,576 - root - INFO - OK, PRBS counter 15 = 1
2020-10-28 16:03:33,577 - root - INFO - OK, PRBS counter 16 = 1
2020-10-28 16:03:33,577 - root - INFO - OK, PRBS counter 17 = 1
