2020-10-22 15:53:48,207 - root - INFO - Start testAll
2020-10-22 15:53:48,207 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0345
2020-10-22 15:53:50,214 - root - INFO - CRU Version: AC12387
2020-10-22 15:53:50,214 - root - INFO - RDO Version: BED27B3
2020-10-22 15:53:50,217 - root - INFO - DNA = 0x40020001012947641c502145
2020-10-22 15:53:51,793 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-10-22 15:53:51,795 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-10-22 15:53:51,796 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-10-22 15:53:55,837 - root - INFO - GBTx0 locked to CRU
2020-10-22 15:53:55,838 - root - INFO - GBTx2 locked to CRU
2020-10-22 15:53:55,841 - root - INFO - GBTx0(adres=367=testFuse1) = 0x68
2020-10-22 15:53:55,841 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-10-22 15:53:55,843 - root - INFO - GBTx1(adres=367=testFuse1) = 0x81
2020-10-22 15:53:55,844 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-10-22 15:53:55,846 - root - INFO - GBTx2(adres=367=testFuse1) = 0x6a
2020-10-22 15:53:55,846 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-10-22 15:53:55,848 - root - INFO - Number of FEC Errors at start of test = 0
2020-10-22 15:53:57,853 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-10-22 15:53:57,854 - root - INFO - MGT errors: 0
2020-10-22 15:53:57,855 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-10-22 15:53:57,855 - root - INFO - Disable DCLK
2020-10-22 15:53:57,856 - root - INFO - reset all prbs  receivers
2020-10-22 15:53:57,856 - root - INFO - clear all prbs error counters
2020-10-22 15:53:57,856 - root - INFO - inject errors
2020-10-22 15:53:57,858 - root - INFO - wait 5.0 seconds
2020-10-22 15:54:02,864 - root - INFO - sleep done
2020-10-22 15:54:02,865 - root - INFO - OK, smaError 6
2020-10-22 15:54:02,866 - root - INFO - OK, headerJ13Error0 6
2020-10-22 15:54:02,866 - root - INFO - OK, headerJ13Error1 12
2020-10-22 15:54:02,867 - root - INFO - OK, headerJ13Error2 18
2020-10-22 15:54:02,868 - root - INFO - OK, headerJ13Error3 24
2020-10-22 15:54:02,868 - root - INFO - OK, headerJ13Error4 30
2020-10-22 15:54:02,869 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-22 15:54:02,870 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-22 15:54:02,870 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-22 15:54:02,871 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-22 15:54:02,871 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-22 15:54:02,872 - root - INFO - OK, PA3Error0 6
2020-10-22 15:54:02,873 - root - INFO - OK, PA3Error1 12
2020-10-22 15:54:02,873 - root - INFO - OK, PA3Error2 18
2020-10-22 15:54:02,874 - root - INFO - OK, PA3Error3 24
2020-10-22 15:54:02,874 - root - INFO - OK, PA3Error4 30
2020-10-22 15:54:02,875 - root - INFO - OK, PA3Error5 6
2020-10-22 15:54:02,876 - root - INFO - OK, PA3Error6 12
2020-10-22 15:54:02,876 - root - INFO - OK, PA3Error7 18
2020-10-22 15:54:02,877 - root - INFO - OK, PA3Error8 24
2020-10-22 15:54:02,877 - root - INFO - OK, PA3Error9 30
2020-10-22 15:54:02,878 - root - INFO - OK, DCTRLerror0 6
2020-10-22 15:54:02,878 - root - INFO - OK, DCTRLerror1 12
2020-10-22 15:54:02,879 - root - INFO - OK, DCTRLerror2 18
2020-10-22 15:54:02,880 - root - INFO - OK, DCTRLerror3 24
2020-10-22 15:54:02,880 - root - INFO - OK, DCTRLerror4 30
2020-10-22 15:54:02,881 - root - INFO - OK, DCLKBerror0 0
2020-10-22 15:54:02,881 - root - INFO - OK, DCLKBerror1 0
