2020-11-11 14:02:59,587 - root - INFO - Start testAll
2020-11-11 14:02:59,587 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0353
2020-11-11 14:03:01,594 - root - INFO - CRU Version: AC12387
2020-11-11 14:03:01,594 - root - INFO - RDO Version: BED27B3
2020-11-11 14:03:01,596 - root - INFO - DNA = 0x400200018129974744e0c185
2020-11-11 14:03:03,148 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-11 14:03:03,150 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-11 14:03:03,151 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-11 14:03:05,181 - root - INFO - GBTx0 locked to CRU
2020-11-11 14:03:05,244 - root - INFO - GBTx2 locked to CRU
2020-11-11 14:03:05,246 - root - INFO - GBTx0(adres=367=testFuse1) = 0xd1
2020-11-11 14:03:05,246 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-11-11 14:03:05,249 - root - INFO - GBTx1(adres=367=testFuse1) = 0x7b
2020-11-11 14:03:05,249 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-11-11 14:03:05,251 - root - INFO - GBTx2(adres=367=testFuse1) = 0x65
2020-11-11 14:03:05,252 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-11-11 14:03:05,253 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-11 14:03:07,258 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-11 14:03:07,259 - root - INFO - MGT errors: 0
2020-11-11 14:03:07,259 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-11 14:03:07,260 - root - INFO - Disable DCLK
2020-11-11 14:03:07,260 - root - INFO - reset all prbs  receivers
2020-11-11 14:03:07,261 - root - INFO - clear all prbs error counters
2020-11-11 14:03:07,261 - root - INFO - inject errors
2020-11-11 14:03:07,263 - root - INFO - wait 5.0 seconds
2020-11-11 14:03:12,268 - root - INFO - sleep done
2020-11-11 14:03:12,269 - root - INFO - OK, smaError 6
2020-11-11 14:03:12,270 - root - INFO - OK, headerJ13Error0 6
2020-11-11 14:03:12,270 - root - INFO - OK, headerJ13Error1 12
2020-11-11 14:03:12,271 - root - INFO - OK, headerJ13Error2 18
2020-11-11 14:03:12,271 - root - INFO - OK, headerJ13Error3 24
2020-11-11 14:03:12,272 - root - INFO - OK, headerJ13Error4 30
2020-11-11 14:03:12,272 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-11 14:03:12,273 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-11 14:03:12,274 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-11 14:03:12,274 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-11 14:03:12,275 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-11 14:03:12,275 - root - INFO - OK, PA3Error0 6
2020-11-11 14:03:12,276 - root - INFO - OK, PA3Error1 12
2020-11-11 14:03:12,276 - root - INFO - OK, PA3Error2 18
2020-11-11 14:03:12,277 - root - INFO - OK, PA3Error3 24
2020-11-11 14:03:12,277 - root - INFO - OK, PA3Error4 30
2020-11-11 14:03:12,278 - root - INFO - OK, PA3Error5 6
2020-11-11 14:03:12,279 - root - INFO - OK, PA3Error6 12
2020-11-11 14:03:12,279 - root - INFO - OK, PA3Error7 18
2020-11-11 14:03:12,280 - root - INFO - OK, PA3Error8 24
2020-11-11 14:03:12,280 - root - INFO - OK, PA3Error9 30
2020-11-11 14:03:12,281 - root - INFO - OK, DCTRLerror0 6
2020-11-11 14:03:12,281 - root - INFO - OK, DCTRLerror1 12
2020-11-11 14:03:12,282 - root - INFO - OK, DCTRLerror2 18
2020-11-11 14:03:12,282 - root - INFO - OK, DCTRLerror3 24
2020-11-11 14:03:12,283 - root - INFO - OK, DCTRLerror4 30
2020-11-11 14:03:12,284 - root - INFO - OK, DCLKBerror0 0
2020-11-11 14:03:12,284 - root - INFO - OK, DCLKBerror1 0
2020-11-11 14:03:12,285 - root - INFO - OK, DCLKBerror2 0
2020-11-11 14:03:12,285 - root - INFO - OK, DCLKBerror3 0
2020-11-11 14:03:12,286 - root - INFO - OK, DCLKBerror4 0
2020-11-11 14:03:12,286 - root - INFO - OK, DCLKCerror0 0
2020-11-11 14:03:12,287 - root - INFO - OK, DCLKCerror1 0
2020-11-11 14:03:12,287 - root - INFO - OK, DCLKCerror2 0
2020-11-11 14:03:12,287 - root - INFO - OK, DCLKCerror3 0
2020-11-11 14:03:12,287 - root - INFO - OK, DCLKCerror4 0
2020-11-11 14:03:12,287 - root - INFO - OK, AUXerror0 6
2020-11-11 14:03:12,288 - root - INFO - OK, AUXerror1 12
2020-11-11 14:03:12,288 - root - INFO - OK, AUXerror2 18
2020-11-11 14:03:12,288 - root - INFO - OK, AUXerror3 24
2020-11-11 14:03:12,288 - root - INFO - OK, PUerror0 6
2020-11-11 14:03:12,288 - root - INFO - OK, PUerror1 12
2020-11-11 14:03:12,288 - root - INFO - OK, PUerror2 18
2020-11-11 14:03:12,288 - root - INFO - OK, PUerror3 24
2020-11-11 14:03:12,289 - root - INFO - OK, PUerror4 30
2020-11-11 14:03:12,289 - root - INFO - OK, PUerror5 36
2020-11-11 14:03:12,289 - root - INFO - OK, PUerror6 42
2020-11-11 14:03:12,289 - root - INFO - OK, PUerror7 48
2020-11-11 14:03:12,289 - root - INFO - Enable DCLK
2020-11-11 14:03:12,289 - root - INFO - reset all prbs  receivers
2020-11-11 14:03:12,289 - root - INFO - clear all prbs error counters
2020-11-11 14:03:12,290 - root - INFO - inject errors
2020-11-11 14:03:12,290 - root - INFO - wait 300 seconds
2020-11-11 14:03:12,290 - root - INFO - Number of GPIO Errors so far = 0
2020-11-11 14:03:12,290 - root - INFO - Number of MGT errors so far = 0
2020-11-11 14:08:13,016 - root - INFO - sleep done
2020-11-11 14:08:13,017 - root - INFO - OK, smaError 6
2020-11-11 14:08:13,017 - root - INFO - OK, headerJ13Error0 6
2020-11-11 14:08:13,018 - root - INFO - OK, headerJ13Error1 12
2020-11-11 14:08:13,018 - root - INFO - OK, headerJ13Error2 18
2020-11-11 14:08:13,018 - root - INFO - OK, headerJ13Error3 24
2020-11-11 14:08:13,019 - root - INFO - OK, headerJ13Error4 30
2020-11-11 14:08:13,019 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-11 14:08:13,019 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-11 14:08:13,019 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-11 14:08:13,019 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-11 14:08:13,019 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error0 6
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error1 12
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error2 18
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error3 24
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error4 30
2020-11-11 14:08:13,020 - root - INFO - OK, PA3Error5 6
2020-11-11 14:08:13,021 - root - INFO - OK, PA3Error6 12
2020-11-11 14:08:13,021 - root - INFO - OK, PA3Error7 18
2020-11-11 14:08:13,021 - root - INFO - OK, PA3Error8 24
2020-11-11 14:08:13,021 - root - INFO - OK, PA3Error9 30
2020-11-11 14:08:13,021 - root - INFO - OK, DCTRLerror0 6
2020-11-11 14:08:13,021 - root - INFO - OK, DCTRLerror1 12
2020-11-11 14:08:13,022 - root - INFO - OK, DCTRLerror2 18
2020-11-11 14:08:13,022 - root - INFO - OK, DCTRLerror3 24
2020-11-11 14:08:13,022 - root - INFO - OK, DCTRLerror4 30
2020-11-11 14:08:13,022 - root - INFO - OK, DCLKBerror0 6
2020-11-11 14:08:13,022 - root - INFO - OK, DCLKBerror1 12
2020-11-11 14:08:13,022 - root - INFO - OK, DCLKBerror2 18
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKBerror3 24
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKBerror4 30
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKCerror0 6
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKCerror1 12
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKCerror2 18
2020-11-11 14:08:13,023 - root - INFO - OK, DCLKCerror3 24
2020-11-11 14:08:13,024 - root - INFO - OK, DCLKCerror4 30
2020-11-11 14:08:13,024 - root - INFO - OK, AUXerror0 6
2020-11-11 14:08:13,024 - root - INFO - OK, AUXerror1 12
2020-11-11 14:08:13,024 - root - INFO - OK, AUXerror2 18
2020-11-11 14:08:13,024 - root - INFO - OK, AUXerror3 24
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror0 6
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror1 12
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror2 18
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror3 24
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror4 30
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror5 36
2020-11-11 14:08:13,025 - root - INFO - OK, PUerror6 42
2020-11-11 14:08:13,026 - root - INFO - OK, PUerror7 48
2020-11-11 14:08:13,026 - root - INFO - OK, PRBS counter 0 = 1
2020-11-11 14:08:13,026 - root - INFO - OK, PRBS counter 1 = 1
2020-11-11 14:08:13,026 - root - INFO - OK, PRBS counter 2 = 1
2020-11-11 14:08:13,026 - root - INFO - OK, PRBS counter 3 = 1
2020-11-11 14:08:13,026 - root - INFO - OK, PRBS counter 4 = 1
2020-11-11 14:08:13,027 - root - INFO - OK, PRBS counter 5 = 1
2020-11-11 14:08:13,027 - root - INFO - OK, PRBS counter 6 = 1
2020-11-11 14:08:13,027 - root - INFO - OK, PRBS counter 7 = 1
2020-11-11 14:08:13,027 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-11-11 14:08:13,028 - root - INFO - OK, PRBS counter 9 = 1
2020-11-11 14:08:13,028 - root - INFO - OK, PRBS counter 10 = 1
2020-11-11 14:08:13,029 - root - INFO - OK, PRBS counter 11 = 1
2020-11-11 14:08:13,029 - root - INFO - OK, PRBS counter 12 = 1
2020-11-11 14:08:13,029 - root - INFO - OK, PRBS counter 13 = 1
2020-11-11 14:08:13,030 - root - INFO - OK, PRBS counter 14 = 1
2020-11-11 14:08:13,030 - root - INFO - OK, PRBS counter 15 = 1
2020-11-11 14:08:13,030 - root - INFO - OK, PRBS counter 16 = 1
2020-11-11 14:08:13,030 - root - INFO - OK, PRBS counter 17 = 1
2020-11-11 14:08:13,030 - root - INFO - OK, PRBS counter 18 = 1
2020-11-11 14:08:13,031 - root - INFO - OK, PRBS counter 19 = 1
2020-11-11 14:08:13,031 - root - INFO - OK, PRBS counter 20 = 1
2020-11-11 14:08:13,031 - root - INFO - OK, PRBS counter 21 = 1
2020-11-11 14:08:13,031 - root - INFO - OK, PRBS counter 22 = 1
2020-11-11 14:08:13,031 - root - INFO - OK, PRBS counter 23 = 1
2020-11-11 14:08:13,032 - root - INFO - OK, PRBS counter 24 = 1
2020-11-11 14:08:13,032 - root - INFO - OK, PRBS counter 25 = 1
2020-11-11 14:08:13,032 - root - INFO - OK, PRBS counter 26 = 1
2020-11-11 14:08:13,032 - root - INFO - OK, PRBS counter 27 = 1
