2020-11-20 09:58:48,858 - root - INFO - Start testAll
2020-11-20 09:58:48,858 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0359
2020-11-20 09:58:50,865 - root - INFO - CRU Version: AC12387
2020-11-20 09:58:50,865 - root - INFO - RDO Version: BED27B3
2020-11-20 09:58:50,868 - root - INFO - DNA = 0x40020001012947641d2103c5
2020-11-20 09:58:52,426 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-20 09:58:52,444 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-20 09:58:52,445 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-20 09:58:56,485 - root - INFO - GBTx0 locked to CRU
2020-11-20 09:58:56,486 - root - INFO - GBTx2 locked to CRU
2020-11-20 09:58:56,489 - root - INFO - GBTx0(adres=367=testFuse1) = 0x4f
2020-11-20 09:58:56,490 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2020-11-20 09:58:56,492 - root - INFO - GBTx1(adres=367=testFuse1) = 0xad
2020-11-20 09:58:56,493 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-11-20 09:58:56,496 - root - INFO - GBTx2(adres=367=testFuse1) = 0xc3
2020-11-20 09:58:56,496 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9a
2020-11-20 09:58:56,497 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-20 09:58:58,502 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-20 09:58:58,564 - root - INFO - MGT errors: 0
2020-11-20 09:58:58,564 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-20 09:58:58,565 - root - INFO - Disable DCLK
2020-11-20 09:58:58,565 - root - INFO - reset all prbs  receivers
2020-11-20 09:58:58,566 - root - INFO - clear all prbs error counters
2020-11-20 09:58:58,566 - root - INFO - inject errors
2020-11-20 09:58:58,567 - root - INFO - wait 5.0 seconds
2020-11-20 09:59:03,570 - root - INFO - sleep done
2020-11-20 09:59:03,631 - root - INFO - OK, smaError 6
2020-11-20 09:59:03,632 - root - INFO - OK, headerJ13Error0 6
2020-11-20 09:59:03,633 - root - INFO - OK, headerJ13Error1 12
2020-11-20 09:59:03,633 - root - INFO - OK, headerJ13Error2 18
2020-11-20 09:59:03,634 - root - INFO - OK, headerJ13Error3 24
2020-11-20 09:59:03,634 - root - INFO - OK, headerJ13Error4 30
2020-11-20 09:59:03,635 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-20 09:59:03,635 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-20 09:59:03,636 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-20 09:59:03,636 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-20 09:59:03,636 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-20 09:59:03,636 - root - INFO - OK, PA3Error0 6
2020-11-20 09:59:03,636 - root - INFO - OK, PA3Error1 12
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error2 18
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error3 24
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error4 30
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error5 6
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error6 12
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error7 18
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error8 24
2020-11-20 09:59:03,637 - root - INFO - OK, PA3Error9 30
2020-11-20 09:59:03,638 - root - INFO - OK, DCTRLerror0 6
2020-11-20 09:59:03,638 - root - INFO - OK, DCTRLerror1 12
2020-11-20 09:59:03,638 - root - INFO - OK, DCTRLerror2 18
2020-11-20 09:59:03,638 - root - INFO - OK, DCTRLerror3 24
2020-11-20 09:59:03,638 - root - INFO - OK, DCTRLerror4 30
2020-11-20 09:59:03,638 - root - INFO - OK, DCLKBerror0 0
2020-11-20 09:59:03,638 - root - INFO - OK, DCLKBerror1 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKBerror2 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKBerror3 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKBerror4 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKCerror0 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKCerror1 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKCerror2 0
2020-11-20 09:59:03,639 - root - INFO - OK, DCLKCerror3 0
2020-11-20 09:59:03,640 - root - INFO - OK, DCLKCerror4 0
2020-11-20 09:59:03,640 - root - INFO - OK, AUXerror0 6
2020-11-20 09:59:03,640 - root - INFO - OK, AUXerror1 12
2020-11-20 09:59:03,640 - root - INFO - OK, AUXerror2 18
2020-11-20 09:59:03,640 - root - INFO - OK, AUXerror3 24
2020-11-20 09:59:03,640 - root - INFO - OK, PUerror0 6
2020-11-20 09:59:03,640 - root - INFO - OK, PUerror1 12
2020-11-20 09:59:03,640 - root - INFO - OK, PUerror2 18
2020-11-20 09:59:03,641 - root - INFO - OK, PUerror3 24
2020-11-20 09:59:03,641 - root - INFO - OK, PUerror4 30
2020-11-20 09:59:03,641 - root - INFO - OK, PUerror5 36
2020-11-20 09:59:03,641 - root - INFO - OK, PUerror6 42
2020-11-20 09:59:03,641 - root - INFO - OK, PUerror7 48
2020-11-20 09:59:03,641 - root - INFO - Enable DCLK
2020-11-20 09:59:03,641 - root - INFO - reset all prbs  receivers
2020-11-20 09:59:03,641 - root - INFO - clear all prbs error counters
2020-11-20 09:59:03,641 - root - INFO - inject errors
2020-11-20 09:59:03,642 - root - INFO - wait 300 seconds
2020-11-20 09:59:03,642 - root - INFO - Number of GPIO Errors so far = 0
2020-11-20 09:59:03,642 - root - INFO - Number of MGT errors so far = 0
2020-11-20 10:04:04,300 - root - INFO - sleep done
2020-11-20 10:04:04,301 - root - INFO - OK, smaError 6
2020-11-20 10:04:04,302 - root - INFO - OK, headerJ13Error0 6
2020-11-20 10:04:04,303 - root - INFO - OK, headerJ13Error1 12
2020-11-20 10:04:04,304 - root - INFO - OK, headerJ13Error2 18
2020-11-20 10:04:04,304 - root - INFO - OK, headerJ13Error3 24
2020-11-20 10:04:04,305 - root - INFO - OK, headerJ13Error4 30
2020-11-20 10:04:04,306 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-20 10:04:04,306 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-20 10:04:04,307 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-20 10:04:04,307 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-20 10:04:04,308 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-20 10:04:04,309 - root - INFO - OK, PA3Error0 6
2020-11-20 10:04:04,309 - root - INFO - OK, PA3Error1 12
2020-11-20 10:04:04,310 - root - INFO - OK, PA3Error2 18
2020-11-20 10:04:04,310 - root - INFO - OK, PA3Error3 24
2020-11-20 10:04:04,311 - root - INFO - OK, PA3Error4 30
2020-11-20 10:04:04,311 - root - INFO - OK, PA3Error5 6
2020-11-20 10:04:04,312 - root - INFO - OK, PA3Error6 12
2020-11-20 10:04:04,313 - root - INFO - OK, PA3Error7 18
2020-11-20 10:04:04,313 - root - INFO - OK, PA3Error8 24
2020-11-20 10:04:04,314 - root - INFO - OK, PA3Error9 30
2020-11-20 10:04:04,314 - root - INFO - OK, DCTRLerror0 6
2020-11-20 10:04:04,315 - root - INFO - OK, DCTRLerror1 12
2020-11-20 10:04:04,315 - root - INFO - OK, DCTRLerror2 18
2020-11-20 10:04:04,316 - root - INFO - OK, DCTRLerror3 24
2020-11-20 10:04:04,317 - root - INFO - OK, DCTRLerror4 30
2020-11-20 10:04:04,317 - root - INFO - OK, DCLKBerror0 6
2020-11-20 10:04:04,318 - root - INFO - OK, DCLKBerror1 12
2020-11-20 10:04:04,318 - root - INFO - OK, DCLKBerror2 18
2020-11-20 10:04:04,319 - root - INFO - OK, DCLKBerror3 24
2020-11-20 10:04:04,319 - root - INFO - OK, DCLKBerror4 30
2020-11-20 10:04:04,320 - root - INFO - OK, DCLKCerror0 6
2020-11-20 10:04:04,320 - root - INFO - OK, DCLKCerror1 12
2020-11-20 10:04:04,321 - root - INFO - OK, DCLKCerror2 18
2020-11-20 10:04:04,322 - root - INFO - OK, DCLKCerror3 24
2020-11-20 10:04:04,322 - root - INFO - OK, DCLKCerror4 30
2020-11-20 10:04:04,323 - root - INFO - OK, AUXerror0 6
2020-11-20 10:04:04,323 - root - INFO - OK, AUXerror1 12
2020-11-20 10:04:04,324 - root - INFO - OK, AUXerror2 18
2020-11-20 10:04:04,324 - root - INFO - OK, AUXerror3 24
2020-11-20 10:04:04,325 - root - INFO - OK, PUerror0 6
2020-11-20 10:04:04,326 - root - INFO - OK, PUerror1 12
2020-11-20 10:04:04,326 - root - INFO - OK, PUerror2 18
2020-11-20 10:04:04,327 - root - INFO - OK, PUerror3 24
2020-11-20 10:04:04,327 - root - INFO - OK, PUerror4 30
2020-11-20 10:04:04,328 - root - INFO - OK, PUerror5 36
2020-11-20 10:04:04,329 - root - INFO - OK, PUerror6 42
2020-11-20 10:04:04,329 - root - INFO - OK, PUerror7 48
2020-11-20 10:04:04,330 - root - INFO - OK, PRBS counter 0 = 1
2020-11-20 10:04:04,331 - root - INFO - OK, PRBS counter 1 = 1
2020-11-20 10:04:04,331 - root - INFO - OK, PRBS counter 2 = 1
2020-11-20 10:04:04,332 - root - INFO - OK, PRBS counter 3 = 1
2020-11-20 10:04:04,333 - root - INFO - OK, PRBS counter 4 = 1
2020-11-20 10:04:04,333 - root - INFO - OK, PRBS counter 5 = 1
2020-11-20 10:04:04,334 - root - INFO - OK, PRBS counter 6 = 1
2020-11-20 10:04:04,335 - root - INFO - OK, PRBS counter 7 = 1
2020-11-20 10:04:04,336 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-11-20 10:04:04,336 - root - INFO - OK, PRBS counter 9 = 1
2020-11-20 10:04:04,337 - root - INFO - OK, PRBS counter 10 = 1
2020-11-20 10:04:04,338 - root - INFO - OK, PRBS counter 11 = 1
2020-11-20 10:04:04,338 - root - INFO - OK, PRBS counter 12 = 1
2020-11-20 10:04:04,339 - root - INFO - OK, PRBS counter 13 = 1
2020-11-20 10:04:04,339 - root - INFO - OK, PRBS counter 14 = 1
2020-11-20 10:04:04,340 - root - INFO - OK, PRBS counter 15 = 1
2020-11-20 10:04:04,340 - root - INFO - OK, PRBS counter 16 = 1
2020-11-20 10:04:04,341 - root - INFO - OK, PRBS counter 17 = 1
2020-11-20 10:04:04,341 - root - INFO - OK, PRBS counter 18 = 1
2020-11-20 10:04:04,342 - root - INFO - OK, PRBS counter 19 = 1
2020-11-20 10:04:04,342 - root - INFO - OK, PRBS counter 20 = 1
2020-11-20 10:04:04,343 - root - INFO - OK, PRBS counter 21 = 1
2020-11-20 10:04:04,343 - root - INFO - OK, PRBS counter 22 = 1
2020-11-20 10:04:04,343 - root - INFO - OK, PRBS counter 23 = 1
2020-11-20 10:04:04,344 - root - INFO - OK, PRBS counter 24 = 1
2020-11-20 10:04:04,344 - root - INFO - OK, PRBS counter 25 = 1
2020-11-20 10:04:04,345 - root - INFO - OK, PRBS counter 26 = 1
2020-11-20 10:04:04,345 - root - INFO - OK, PRBS counter 27 = 1
2020-11-20 10:04:04,345 - root - INFO - CRU status flags:
2020-11-20 10:04:04,346 - root - INFO - MGTLinkReady           1
2020-11-20 10:04:04,346 - root - INFO - RxWordClockReady       1
2020-11-20 10:04:04,346 - root - INFO - RxFrameClockReady      1
2020-11-20 10:04:04,346 - root - INFO - GbtRxReady             1
2020-11-20 10:04:04,346 - root - INFO - RxIsData               0
2020-11-20 10:04:04,346 - root - INFO - GbtRxReadyLostFlag     0
2020-11-20 10:04:04,346 - root - INFO - GbtRxDataErrorseenFlag 0
2020-11-20 10:04:04,347 - root - INFO - Number of FEC Errors = 2
2020-11-20 10:04:04,347 - root - INFO - No Data errors and link errors
2020-11-20 10:04:04,347 - root - INFO - Number of GPIO Errors = 0
2020-11-20 10:04:04,347 - root - INFO - Number of faulty MGT channels = 0
2020-11-20 10:04:34,808 - root - INFO - 2 FEC errors, repeat
2020-11-20 10:06:13,978 - root - INFO - Start testAll
2020-11-20 10:06:13,978 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0359
2020-11-20 10:06:15,985 - root - INFO - CRU Version: AC12387
2020-11-20 10:06:15,986 - root - INFO - RDO Version: BED27B3
2020-11-20 10:06:15,988 - root - INFO - DNA = 0x40020001012947641d2103c5
2020-11-20 10:06:17,543 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-20 10:06:17,545 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-20 10:06:17,546 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
