2020-10-23 11:14:14,631 - root - INFO - Start testAll
2020-10-23 11:14:14,631 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0362
2020-10-23 11:14:16,637 - root - INFO - CRU Version: AC12387
2020-10-23 11:14:16,638 - root - INFO - RDO Version: BED27B3
2020-10-23 11:14:16,641 - root - INFO - DNA = 0x400200018129974744e0a545
2020-10-23 11:14:18,194 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-10-23 11:14:18,196 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-10-23 11:14:18,197 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-10-23 11:14:22,299 - root - INFO - GBTx0 locked to CRU
2020-10-23 11:14:22,300 - root - INFO - GBTx2 locked to CRU
2020-10-23 11:14:22,303 - root - INFO - GBTx0(adres=367=testFuse1) = 0x8e
2020-10-23 11:14:22,303 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-10-23 11:14:22,305 - root - INFO - GBTx1(adres=367=testFuse1) = 0xbe
2020-10-23 11:14:22,306 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-10-23 11:14:22,308 - root - INFO - GBTx2(adres=367=testFuse1) = 0xa0
2020-10-23 11:14:22,308 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-10-23 11:14:22,310 - root - INFO - Number of FEC Errors at start of test = 0
2020-10-23 11:14:24,315 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-10-23 11:14:24,316 - root - INFO - MGT errors: 0
2020-10-23 11:14:24,317 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-10-23 11:14:24,317 - root - INFO - Disable DCLK
2020-10-23 11:14:24,318 - root - INFO - reset all prbs  receivers
2020-10-23 11:14:24,318 - root - INFO - clear all prbs error counters
2020-10-23 11:14:24,318 - root - INFO - inject errors
2020-10-23 11:14:24,320 - root - INFO - wait 5.0 seconds
2020-10-23 11:14:29,326 - root - INFO - sleep done
2020-10-23 11:14:29,327 - root - INFO - OK, smaError 6
2020-10-23 11:14:29,328 - root - INFO - OK, headerJ13Error0 6
2020-10-23 11:14:29,329 - root - INFO - OK, headerJ13Error1 12
2020-10-23 11:14:29,329 - root - INFO - OK, headerJ13Error2 18
2020-10-23 11:14:29,330 - root - INFO - OK, headerJ13Error3 24
2020-10-23 11:14:29,331 - root - INFO - OK, headerJ13Error4 30
2020-10-23 11:14:29,331 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-23 11:14:29,332 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-23 11:14:29,333 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-23 11:14:29,334 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-23 11:14:29,334 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-23 11:14:29,335 - root - INFO - OK, PA3Error0 6
2020-10-23 11:14:29,336 - root - INFO - OK, PA3Error1 12
2020-10-23 11:14:29,337 - root - INFO - OK, PA3Error2 18
2020-10-23 11:14:29,338 - root - INFO - OK, PA3Error3 24
2020-10-23 11:14:29,338 - root - INFO - OK, PA3Error4 30
2020-10-23 11:14:29,339 - root - INFO - OK, PA3Error5 6
2020-10-23 11:14:29,340 - root - INFO - OK, PA3Error6 12
2020-10-23 11:14:29,341 - root - INFO - OK, PA3Error7 18
2020-10-23 11:14:29,341 - root - INFO - OK, PA3Error8 24
2020-10-23 11:14:29,342 - root - INFO - OK, PA3Error9 30
2020-10-23 11:14:29,343 - root - INFO - OK, DCTRLerror0 6
2020-10-23 11:14:29,344 - root - INFO - OK, DCTRLerror1 12
2020-10-23 11:14:29,345 - root - INFO - OK, DCTRLerror2 18
2020-10-23 11:14:29,345 - root - INFO - OK, DCTRLerror3 24
2020-10-23 11:14:29,346 - root - INFO - OK, DCTRLerror4 30
2020-10-23 11:14:29,347 - root - INFO - OK, DCLKBerror0 0
2020-10-23 11:14:29,348 - root - INFO - OK, DCLKBerror1 0
2020-10-23 11:14:29,349 - root - INFO - OK, DCLKBerror2 0
2020-10-23 11:14:29,349 - root - INFO - OK, DCLKBerror3 0
2020-10-23 11:14:29,350 - root - INFO - OK, DCLKBerror4 0
2020-10-23 11:14:29,351 - root - INFO - OK, DCLKCerror0 0
2020-10-23 11:14:29,351 - root - INFO - OK, DCLKCerror1 0
2020-10-23 11:14:29,352 - root - INFO - OK, DCLKCerror2 0
2020-10-23 11:14:29,352 - root - INFO - OK, DCLKCerror3 0
2020-10-23 11:14:29,352 - root - INFO - OK, DCLKCerror4 0
2020-10-23 11:14:29,352 - root - INFO - OK, AUXerror0 6
2020-10-23 11:14:29,352 - root - INFO - OK, AUXerror1 12
2020-10-23 11:14:29,353 - root - INFO - OK, AUXerror2 18
2020-10-23 11:14:29,353 - root - INFO - OK, AUXerror3 24
2020-10-23 11:14:29,353 - root - INFO - OK, PUerror0 6
2020-10-23 11:14:29,353 - root - INFO - OK, PUerror1 12
2020-10-23 11:14:29,353 - root - INFO - OK, PUerror2 18
2020-10-23 11:14:29,353 - root - INFO - OK, PUerror3 24
2020-10-23 11:14:29,354 - root - INFO - OK, PUerror4 30
