2020-12-11 10:30:50,728 - root - INFO - Start testAll
2020-12-11 10:30:50,728 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0363
2020-12-11 10:30:52,735 - root - INFO - CRU Version: AC12387
2020-12-11 10:30:52,735 - root - INFO - RDO Version: BED27B3
2020-12-11 10:30:52,738 - root - INFO - DNA = 0x40020001012947641d40c4c5
2020-12-11 10:30:54,790 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-11 10:30:54,792 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-11 10:30:54,793 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-11 10:30:58,835 - root - INFO - GBTx0 locked to CRU
2020-12-11 10:30:58,837 - root - INFO - GBTx2 locked to CRU
2020-12-11 10:30:58,840 - root - INFO - GBTx0(adres=367=testFuse1) = 0xac
2020-12-11 10:30:58,841 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-12-11 10:30:58,843 - root - INFO - GBTx1(adres=367=testFuse1) = 0x80
2020-12-11 10:30:58,844 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-12-11 10:30:58,847 - root - INFO - GBTx2(adres=367=testFuse1) = 0x95
2020-12-11 10:30:58,847 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-12-11 10:31:01,354 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-11 10:31:01,355 - root - INFO - MGT errors: 0
2020-12-11 10:31:01,356 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-11 10:31:01,357 - root - INFO - Disable DCLK
2020-12-11 10:31:01,357 - root - INFO - reset all prbs  receivers
2020-12-11 10:31:01,358 - root - INFO - clear all prbs error counters
2020-12-11 10:31:01,358 - root - INFO - inject errors
2020-12-11 10:31:01,362 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-11 10:31:01,362 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 83
2020-12-11 10:31:01,362 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 32
2020-12-11 10:31:01,363 - root - INFO - wait 5.0 seconds
2020-12-11 10:31:06,368 - root - INFO - sleep done
2020-12-11 10:31:06,369 - root - INFO - OK, smaError 6
2020-12-11 10:31:06,370 - root - INFO - OK, headerJ13Error0 6
2020-12-11 10:31:06,371 - root - INFO - OK, headerJ13Error1 12
2020-12-11 10:31:06,372 - root - INFO - OK, headerJ13Error2 18
2020-12-11 10:31:06,372 - root - INFO - OK, headerJ13Error3 24
2020-12-11 10:31:06,373 - root - INFO - OK, headerJ13Error4 30
2020-12-11 10:31:06,374 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-11 10:31:06,374 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-11 10:31:06,375 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-11 10:31:06,376 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-11 10:31:06,376 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-11 10:31:06,377 - root - INFO - OK, PA3Error0 6
2020-12-11 10:31:06,378 - root - INFO - OK, PA3Error1 12
2020-12-11 10:31:06,378 - root - INFO - OK, PA3Error2 18
2020-12-11 10:31:06,379 - root - INFO - OK, PA3Error3 24
2020-12-11 10:31:06,380 - root - INFO - OK, PA3Error4 30
2020-12-11 10:31:06,380 - root - INFO - OK, PA3Error5 6
2020-12-11 10:31:06,381 - root - INFO - OK, PA3Error6 12
2020-12-11 10:31:06,381 - root - INFO - OK, PA3Error7 18
2020-12-11 10:31:06,382 - root - INFO - OK, PA3Error8 24
2020-12-11 10:31:06,383 - root - INFO - OK, PA3Error9 30
2020-12-11 10:31:06,383 - root - INFO - OK, DCTRLerror0 6
2020-12-11 10:31:06,384 - root - INFO - OK, DCTRLerror1 12
2020-12-11 10:31:06,384 - root - INFO - OK, DCTRLerror2 18
2020-12-11 10:31:06,385 - root - INFO - OK, DCTRLerror3 24
2020-12-11 10:31:06,386 - root - INFO - OK, DCTRLerror4 30
2020-12-11 10:31:06,386 - root - INFO - OK, DCLKBerror0 0
2020-12-11 10:31:06,387 - root - INFO - OK, DCLKBerror1 0
2020-12-11 10:31:06,387 - root - INFO - OK, DCLKBerror2 0
2020-12-11 10:31:06,388 - root - INFO - OK, DCLKBerror3 0
2020-12-11 10:31:06,389 - root - INFO - OK, DCLKBerror4 0
2020-12-11 10:31:06,389 - root - INFO - OK, DCLKCerror0 0
2020-12-11 10:31:06,390 - root - INFO - OK, DCLKCerror1 0
2020-12-11 10:31:06,390 - root - INFO - OK, DCLKCerror2 0
2020-12-11 10:31:06,391 - root - INFO - OK, DCLKCerror3 0
2020-12-11 10:31:06,392 - root - INFO - OK, DCLKCerror4 0
2020-12-11 10:31:06,392 - root - INFO - OK, AUXerror0 6
2020-12-11 10:31:06,393 - root - INFO - OK, AUXerror1 12
2020-12-11 10:31:06,393 - root - INFO - OK, AUXerror2 18
2020-12-11 10:31:06,394 - root - INFO - OK, AUXerror3 24
2020-12-11 10:31:06,395 - root - INFO - OK, PUerror0 6
2020-12-11 10:31:06,395 - root - INFO - OK, PUerror1 12
2020-12-11 10:31:06,396 - root - INFO - OK, PUerror2 18
2020-12-11 10:31:06,396 - root - INFO - OK, PUerror3 24
2020-12-11 10:31:06,397 - root - INFO - OK, PUerror4 30
2020-12-11 10:31:06,398 - root - INFO - OK, PUerror5 36
2020-12-11 10:31:06,398 - root - INFO - OK, PUerror6 42
2020-12-11 10:31:06,399 - root - INFO - OK, PUerror7 48
2020-12-11 10:31:06,399 - root - INFO - Enable DCLK
2020-12-11 10:31:06,399 - root - INFO - reset all prbs  receivers
2020-12-11 10:31:06,400 - root - INFO - clear all prbs error counters
2020-12-11 10:31:06,400 - root - INFO - inject errors
2020-12-11 10:31:06,402 - root - INFO - wait 300 seconds
2020-12-11 10:31:06,402 - root - INFO - Number of GPIO Errors so far = 0
2020-12-11 10:31:06,402 - root - INFO - Number of MGT errors so far = 0
2020-12-11 10:36:07,084 - root - INFO - sleep done
2020-12-11 10:36:07,086 - root - INFO - OK, smaError 6
2020-12-11 10:36:07,087 - root - INFO - OK, headerJ13Error0 6
2020-12-11 10:36:07,088 - root - INFO - OK, headerJ13Error1 12
2020-12-11 10:36:07,088 - root - INFO - OK, headerJ13Error2 18
2020-12-11 10:36:07,089 - root - INFO - OK, headerJ13Error3 24
2020-12-11 10:36:07,090 - root - INFO - OK, headerJ13Error4 30
2020-12-11 10:36:07,090 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-11 10:36:07,091 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-11 10:36:07,092 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-11 10:36:07,092 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-11 10:36:07,093 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-11 10:36:07,094 - root - INFO - OK, PA3Error0 6
2020-12-11 10:36:07,094 - root - INFO - OK, PA3Error1 12
2020-12-11 10:36:07,095 - root - INFO - OK, PA3Error2 18
2020-12-11 10:36:07,095 - root - INFO - OK, PA3Error3 24
2020-12-11 10:36:07,096 - root - INFO - OK, PA3Error4 30
2020-12-11 10:36:07,097 - root - INFO - OK, PA3Error5 6
2020-12-11 10:36:07,098 - root - INFO - OK, PA3Error6 12
2020-12-11 10:36:07,098 - root - INFO - OK, PA3Error7 18
2020-12-11 10:36:07,099 - root - INFO - OK, PA3Error8 24
2020-12-11 10:36:07,099 - root - INFO - OK, PA3Error9 30
2020-12-11 10:36:07,100 - root - INFO - OK, DCTRLerror0 6
2020-12-11 10:36:07,100 - root - INFO - OK, DCTRLerror1 12
2020-12-11 10:36:07,101 - root - INFO - OK, DCTRLerror2 18
2020-12-11 10:36:07,102 - root - INFO - OK, DCTRLerror3 24
2020-12-11 10:36:07,102 - root - INFO - OK, DCTRLerror4 30
2020-12-11 10:36:07,103 - root - INFO - OK, DCLKBerror0 6
2020-12-11 10:36:07,103 - root - INFO - OK, DCLKBerror1 12
2020-12-11 10:36:07,103 - root - INFO - OK, DCLKBerror2 18
2020-12-11 10:36:07,103 - root - INFO - OK, DCLKBerror3 24
2020-12-11 10:36:07,103 - root - INFO - OK, DCLKBerror4 30
2020-12-11 10:36:07,104 - root - INFO - OK, DCLKCerror0 6
2020-12-11 10:36:07,104 - root - INFO - OK, DCLKCerror1 12
2020-12-11 10:36:07,104 - root - INFO - OK, DCLKCerror2 18
2020-12-11 10:36:07,104 - root - INFO - OK, DCLKCerror3 24
2020-12-11 10:36:07,104 - root - INFO - OK, DCLKCerror4 30
2020-12-11 10:36:07,104 - root - INFO - OK, AUXerror0 6
2020-12-11 10:36:07,105 - root - INFO - OK, AUXerror1 12
2020-12-11 10:36:07,105 - root - INFO - OK, AUXerror2 18
2020-12-11 10:36:07,105 - root - INFO - OK, AUXerror3 24
2020-12-11 10:36:07,105 - root - INFO - OK, PUerror0 6
2020-12-11 10:36:07,105 - root - INFO - OK, PUerror1 12
2020-12-11 10:36:07,106 - root - INFO - OK, PUerror2 18
2020-12-11 10:36:07,106 - root - INFO - OK, PUerror3 24
2020-12-11 10:36:07,106 - root - INFO - OK, PUerror4 30
2020-12-11 10:36:07,106 - root - INFO - OK, PUerror5 36
2020-12-11 10:36:07,106 - root - INFO - OK, PUerror6 42
2020-12-11 10:36:07,107 - root - INFO - OK, PUerror7 48
2020-12-11 10:36:07,107 - root - INFO - OK, PRBS counter 0 = 1
2020-12-11 10:36:07,107 - root - INFO - OK, PRBS counter 1 = 1
2020-12-11 10:36:07,107 - root - INFO - OK, PRBS counter 2 = 1
2020-12-11 10:36:07,107 - root - INFO - OK, PRBS counter 3 = 1
2020-12-11 10:36:07,108 - root - INFO - OK, PRBS counter 4 = 1
2020-12-11 10:36:07,108 - root - INFO - OK, PRBS counter 5 = 1
2020-12-11 10:36:07,108 - root - INFO - OK, PRBS counter 6 = 1
2020-12-11 10:36:07,109 - root - INFO - OK, PRBS counter 7 = 1
2020-12-11 10:36:07,109 - root - INFO - OK, PRBS counter 8 = 0, BUSY loopback
2020-12-11 10:36:07,109 - root - INFO - OK, PRBS counter 9 = 1
2020-12-11 10:36:07,109 - root - INFO - OK, PRBS counter 10 = 1
2020-12-11 10:36:07,110 - root - INFO - OK, PRBS counter 11 = 1
2020-12-11 10:36:07,110 - root - INFO - OK, PRBS counter 12 = 1
2020-12-11 10:36:07,110 - root - INFO - OK, PRBS counter 13 = 1
2020-12-11 10:36:07,110 - root - INFO - OK, PRBS counter 14 = 1
2020-12-11 10:36:07,110 - root - INFO - OK, PRBS counter 15 = 1
2020-12-11 10:36:07,111 - root - INFO - OK, PRBS counter 16 = 1
2020-12-11 10:36:07,111 - root - INFO - OK, PRBS counter 17 = 1
2020-12-11 10:36:07,111 - root - INFO - OK, PRBS counter 18 = 1
2020-12-11 10:36:07,111 - root - INFO - OK, PRBS counter 19 = 1
2020-12-11 10:36:07,111 - root - INFO - OK, PRBS counter 20 = 1
2020-12-11 10:36:07,112 - root - INFO - OK, PRBS counter 21 = 1
2020-12-11 10:36:07,112 - root - INFO - OK, PRBS counter 22 = 1
2020-12-11 10:36:07,112 - root - INFO - OK, PRBS counter 23 = 1
2020-12-11 10:36:07,112 - root - INFO - OK, PRBS counter 24 = 1
2020-12-11 10:36:07,113 - root - INFO - OK, PRBS counter 25 = 1
2020-12-11 10:36:07,113 - root - INFO - OK, PRBS counter 26 = 1
2020-12-11 10:36:07,113 - root - INFO - OK, PRBS counter 27 = 1
2020-12-11 10:36:07,113 - root - INFO - CRU status flags:
2020-12-11 10:36:07,113 - root - INFO - MGTLinkReady           1
2020-12-11 10:36:07,113 - root - INFO - RxWordClockReady       1
2020-12-11 10:36:07,113 - root - INFO - RxFrameClockReady      1
2020-12-11 10:36:07,113 - root - INFO - GbtRxReady             1
2020-12-11 10:36:07,113 - root - INFO - RxIsData               0
2020-12-11 10:36:07,113 - root - INFO - GbtRxReadyLostFlag     0
2020-12-11 10:36:07,113 - root - INFO - GbtRxDataErrorseenFlag 0
2020-12-11 10:36:07,115 - root - INFO - Number of RUv0 FEC Errors 0, same as start of test
2020-12-11 10:36:07,115 - root - INFO - Number of GBTx0 FEC Errors 83, same as start of test
2020-12-11 10:36:07,115 - root - INFO - Number of GBTx2 FEC Errors 32, same as start of test
2020-12-11 10:36:07,115 - root - INFO - No Data errors and link errors
2020-12-11 10:36:07,115 - root - INFO - Number of GPIO Errors = 0
2020-12-11 10:36:07,115 - root - INFO - Number of faulty MGT channels = 0
2020-12-11 10:36:33,118 - root - INFO - ok
2020-12-11 10:37:03,463 - root - INFO - Start testSCA
2020-12-11 10:37:03,463 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0363
2020-12-11 10:37:05,997 - root - INFO - GBTx0 locked to CRU
2020-12-11 10:37:06,019 - root - INFO - Now testing SCA-I2C  lines to Xilinx
2020-12-11 10:37:06,117 - root - INFO - Expected = 63, received = 63
2020-12-11 10:37:06,215 - root - INFO - Expected = 127, received = 127
2020-12-11 10:37:06,313 - root - INFO - Expected = 191, received = 191
