2020-12-10 13:22:46,926 - root - INFO - Start testAll
2020-12-10 13:22:46,926 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0366
2020-12-10 13:22:48,933 - root - INFO - CRU Version: AC12387
2020-12-10 13:22:48,933 - root - INFO - RDO Version: BED27B3
2020-12-10 13:22:48,936 - root - INFO - DNA = 0x40020001012947641d50e2c5
2020-12-10 13:22:50,986 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-10 13:22:50,987 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-10 13:22:50,989 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-10 13:22:55,027 - root - INFO - GBTx0 locked to CRU
2020-12-10 13:22:55,029 - root - INFO - GBTx2 locked to CRU
2020-12-10 13:22:55,031 - root - INFO - GBTx0(adres=367=testFuse1) = 0x5f
2020-12-10 13:22:55,031 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2020-12-10 13:22:55,034 - root - INFO - GBTx1(adres=367=testFuse1) = 0x1b
2020-12-10 13:22:55,034 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2020-12-10 13:22:55,036 - root - INFO - GBTx2(adres=367=testFuse1) = 0xd
2020-12-10 13:22:55,037 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-12-10 13:22:57,543 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-10 13:22:57,544 - root - INFO - MGT errors: 0
2020-12-10 13:22:57,545 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-10 13:22:57,546 - root - INFO - Disable DCLK
2020-12-10 13:22:57,546 - root - INFO - reset all prbs  receivers
2020-12-10 13:22:57,547 - root - INFO - clear all prbs error counters
2020-12-10 13:22:57,547 - root - INFO - inject errors
2020-12-10 13:22:57,551 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-10 13:22:57,551 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 104
2020-12-10 13:22:57,551 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 11
2020-12-10 13:22:57,552 - root - INFO - wait 5.0 seconds
2020-12-10 13:23:02,556 - root - INFO - sleep done
2020-12-10 13:23:02,557 - root - INFO - OK, smaError 6
2020-12-10 13:23:02,557 - root - INFO - OK, headerJ13Error0 6
2020-12-10 13:23:02,558 - root - INFO - OK, headerJ13Error1 12
2020-12-10 13:23:02,558 - root - INFO - OK, headerJ13Error2 18
2020-12-10 13:23:02,559 - root - INFO - OK, headerJ13Error3 24
2020-12-10 13:23:02,560 - root - INFO - OK, headerJ13Error4 30
2020-12-10 13:23:02,560 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-10 13:23:02,561 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-10 13:23:02,561 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-10 13:23:02,562 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-10 13:23:02,562 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-10 13:23:02,563 - root - INFO - OK, PA3Error0 6
2020-12-10 13:23:02,564 - root - INFO - OK, PA3Error1 12
2020-12-10 13:23:02,564 - root - INFO - OK, PA3Error2 18
2020-12-10 13:23:02,565 - root - INFO - OK, PA3Error3 24
2020-12-10 13:23:02,565 - root - INFO - OK, PA3Error4 30
2020-12-10 13:23:02,566 - root - INFO - OK, PA3Error5 6
2020-12-10 13:23:02,567 - root - INFO - OK, PA3Error6 12
2020-12-10 13:23:02,567 - root - INFO - OK, PA3Error7 18
2020-12-10 13:23:02,568 - root - INFO - OK, PA3Error8 24
2020-12-10 13:23:02,568 - root - INFO - OK, PA3Error9 30
2020-12-10 13:23:02,569 - root - INFO - OK, DCTRLerror0 6
2020-12-10 13:23:02,570 - root - INFO - OK, DCTRLerror1 12
2020-12-10 13:23:02,570 - root - INFO - OK, DCTRLerror2 18
2020-12-10 13:23:02,571 - root - INFO - OK, DCTRLerror3 24
2020-12-10 13:23:02,571 - root - INFO - OK, DCTRLerror4 30
2020-12-10 13:23:02,572 - root - INFO - OK, DCLKBerror0 0
2020-12-10 13:23:02,573 - root - INFO - OK, DCLKBerror1 0
2020-12-10 13:23:02,573 - root - INFO - OK, DCLKBerror2 0
2020-12-10 13:23:02,574 - root - INFO - OK, DCLKBerror3 0
2020-12-10 13:23:02,574 - root - INFO - OK, DCLKBerror4 0
2020-12-10 13:23:02,575 - root - INFO - OK, DCLKCerror0 0
2020-12-10 13:23:02,575 - root - INFO - OK, DCLKCerror1 0
2020-12-10 13:23:02,576 - root - INFO - OK, DCLKCerror2 0
2020-12-10 13:23:02,577 - root - INFO - OK, DCLKCerror3 0
2020-12-10 13:23:02,577 - root - INFO - OK, DCLKCerror4 0
2020-12-10 13:23:02,578 - root - INFO - OK, AUXerror0 6
2020-12-10 13:23:02,578 - root - INFO - OK, AUXerror1 12
2020-12-10 13:23:02,579 - root - INFO - OK, AUXerror2 18
2020-12-10 13:23:02,580 - root - INFO - OK, AUXerror3 24
2020-12-10 13:23:02,580 - root - INFO - OK, PUerror0 6
2020-12-10 13:23:02,581 - root - INFO - OK, PUerror1 12
2020-12-10 13:23:02,581 - root - INFO - OK, PUerror2 18
2020-12-10 13:23:02,582 - root - INFO - OK, PUerror3 24
2020-12-10 13:23:02,582 - root - INFO - OK, PUerror4 30
2020-12-10 13:23:02,583 - root - INFO - OK, PUerror5 36
2020-12-10 13:23:02,583 - root - INFO - OK, PUerror6 42
2020-12-10 13:23:02,584 - root - INFO - OK, PUerror7 48
2020-12-10 13:23:02,584 - root - INFO - Enable DCLK
2020-12-10 13:23:02,585 - root - INFO - reset all prbs  receivers
2020-12-10 13:23:02,585 - root - INFO - clear all prbs error counters
2020-12-10 13:23:02,585 - root - INFO - inject errors
2020-12-10 13:23:02,586 - root - INFO - wait 300 seconds
2020-12-10 13:23:02,587 - root - INFO - Number of GPIO Errors so far = 0
2020-12-10 13:23:02,587 - root - INFO - Number of MGT errors so far = 0
2020-12-10 13:28:03,267 - root - INFO - sleep done
2020-12-10 13:28:03,269 - root - INFO - OK, smaError 6
2020-12-10 13:28:03,269 - root - INFO - OK, headerJ13Error0 6
2020-12-10 13:28:03,270 - root - INFO - OK, headerJ13Error1 12
2020-12-10 13:28:03,270 - root - INFO - OK, headerJ13Error2 18
2020-12-10 13:28:03,271 - root - INFO - OK, headerJ13Error3 24
