2020-12-10 15:06:13,819 - root - INFO - Start testAll
2020-12-10 15:06:13,819 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0369
2020-12-10 15:06:15,826 - root - INFO - CRU Version: AC12387
2020-12-10 15:06:15,826 - root - INFO - RDO Version: BED27B3
2020-12-10 15:06:15,829 - root - INFO - DNA = 0x40020001012947641d606345
2020-12-10 15:06:17,878 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-10 15:06:17,879 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-10 15:06:17,881 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-10 15:06:21,921 - root - INFO - GBTx0 locked to CRU
2020-12-10 15:06:21,923 - root - INFO - GBTx2 locked to CRU
2020-12-10 15:06:21,926 - root - INFO - GBTx0(adres=367=testFuse1) = 0x2a
2020-12-10 15:06:21,927 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa7
2020-12-10 15:06:21,929 - root - INFO - GBTx1(adres=367=testFuse1) = 0x4b
2020-12-10 15:06:21,929 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2020-12-10 15:06:21,932 - root - INFO - GBTx2(adres=367=testFuse1) = 0x3f
2020-12-10 15:06:21,932 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-12-10 15:06:24,438 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-10 15:06:24,439 - root - INFO - MGT errors: 0
2020-12-10 15:06:24,439 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-10 15:06:24,440 - root - INFO - Disable DCLK
2020-12-10 15:06:24,440 - root - INFO - reset all prbs  receivers
2020-12-10 15:06:24,441 - root - INFO - clear all prbs error counters
2020-12-10 15:06:24,441 - root - INFO - inject errors
2020-12-10 15:06:24,444 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-10 15:06:24,444 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 248
2020-12-10 15:06:24,444 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 102
2020-12-10 15:06:24,444 - root - INFO - wait 5.0 seconds
2020-12-10 15:06:29,445 - root - INFO - sleep done
2020-12-10 15:06:29,446 - root - INFO - OK, smaError 6
2020-12-10 15:06:29,447 - root - INFO - OK, headerJ13Error0 6
2020-12-10 15:06:29,448 - root - INFO - OK, headerJ13Error1 12
2020-12-10 15:06:29,448 - root - INFO - OK, headerJ13Error2 18
2020-12-10 15:06:29,449 - root - INFO - OK, headerJ13Error3 24
2020-12-10 15:06:29,450 - root - INFO - OK, headerJ13Error4 30
2020-12-10 15:06:29,450 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-10 15:06:29,451 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-10 15:06:29,452 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-10 15:06:29,452 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-10 15:06:29,453 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-10 15:06:29,453 - root - INFO - OK, PA3Error0 6
2020-12-10 15:06:29,454 - root - INFO - OK, PA3Error1 12
2020-12-10 15:06:29,455 - root - INFO - OK, PA3Error2 18
2020-12-10 15:06:29,455 - root - INFO - OK, PA3Error3 24
2020-12-10 15:06:29,456 - root - INFO - OK, PA3Error4 30
2020-12-10 15:06:29,456 - root - INFO - OK, PA3Error5 6
2020-12-10 15:06:29,457 - root - INFO - OK, PA3Error6 12
2020-12-10 15:06:29,458 - root - INFO - OK, PA3Error7 18
2020-12-10 15:06:29,458 - root - INFO - OK, PA3Error8 24
2020-12-10 15:06:29,459 - root - INFO - OK, PA3Error9 30
2020-12-10 15:06:29,459 - root - INFO - OK, DCTRLerror0 6
2020-12-10 15:06:29,460 - root - INFO - OK, DCTRLerror1 12
2020-12-10 15:06:29,460 - root - INFO - OK, DCTRLerror2 18
2020-12-10 15:06:29,461 - root - INFO - OK, DCTRLerror3 24
2020-12-10 15:06:29,462 - root - INFO - OK, DCTRLerror4 30
2020-12-10 15:06:29,462 - root - INFO - OK, DCLKBerror0 0
2020-12-10 15:06:29,463 - root - INFO - OK, DCLKBerror1 0
2020-12-10 15:06:29,463 - root - INFO - OK, DCLKBerror2 0
2020-12-10 15:06:29,464 - root - INFO - OK, DCLKBerror3 0
2020-12-10 15:06:29,464 - root - INFO - OK, DCLKBerror4 0
