2020-12-09 13:57:56,583 - root - INFO - Start testAll
2020-12-09 13:57:56,583 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0371
2020-12-09 13:57:58,591 - root - INFO - CRU Version: AC12387
2020-12-09 13:57:58,591 - root - INFO - RDO Version: BED27B3
2020-12-09 13:57:58,593 - root - INFO - DNA = 0x400200018129974744d06405
2020-12-09 13:58:00,642 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-12-09 13:58:00,644 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-12-09 13:58:00,645 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-12-09 13:58:04,685 - root - INFO - GBTx0 locked to CRU
2020-12-09 13:58:04,687 - root - INFO - GBTx2 locked to CRU
2020-12-09 13:58:04,689 - root - INFO - GBTx0(adres=367=testFuse1) = 0x7e
2020-12-09 13:58:04,690 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-12-09 13:58:04,692 - root - INFO - GBTx1(adres=367=testFuse1) = 0xa9
2020-12-09 13:58:04,693 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-12-09 13:58:04,695 - root - INFO - GBTx2(adres=367=testFuse1) = 0x91
2020-12-09 13:58:04,696 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-12-09 13:58:07,203 - root - INFO - MGT status: (15, {'init_done': 1, 'reset_rx_done': 1, 'link_status': 1, 'link_down_latched': 1})
2020-12-09 13:58:07,204 - root - INFO - MGT errors: 0
2020-12-09 13:58:07,205 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-12-09 13:58:07,206 - root - INFO - Disable DCLK
2020-12-09 13:58:07,206 - root - INFO - reset all prbs  receivers
2020-12-09 13:58:07,206 - root - INFO - clear all prbs error counters
2020-12-09 13:58:07,207 - root - INFO - inject errors
2020-12-09 13:58:07,210 - root - INFO - Number of RUv0 FEC Errors at beginning of testAll = 0
2020-12-09 13:58:07,211 - root - INFO - Number of GBTx0 FEC Errors at beginning of testAll = 164
2020-12-09 13:58:07,211 - root - INFO - Number of GBTx2 FEC Errors at beginning of testAll = 221
2020-12-09 13:58:07,211 - root - INFO - wait 5.0 seconds
2020-12-09 13:58:12,212 - root - INFO - sleep done
2020-12-09 13:58:12,213 - root - INFO - OK, smaError 6
2020-12-09 13:58:12,214 - root - INFO - OK, headerJ13Error0 6
2020-12-09 13:58:12,215 - root - INFO - OK, headerJ13Error1 12
2020-12-09 13:58:12,215 - root - INFO - OK, headerJ13Error2 18
2020-12-09 13:58:12,216 - root - INFO - OK, headerJ13Error3 24
2020-12-09 13:58:12,217 - root - INFO - OK, headerJ13Error4 30
2020-12-09 13:58:12,217 - root - INFO - OK, PA3headerJ14Error0 6
2020-12-09 13:58:12,218 - root - INFO - OK, PA3headerJ14Error1 12
2020-12-09 13:58:12,219 - root - INFO - OK, PA3headerJ14Error2 18
2020-12-09 13:58:12,219 - root - INFO - OK, PA3headerJ14Error3 24
2020-12-09 13:58:12,220 - root - INFO - OK, PA3headerJ14Error4 30
2020-12-09 13:58:12,220 - root - INFO - OK, PA3Error0 6
2020-12-09 13:58:12,221 - root - INFO - OK, PA3Error1 12
2020-12-09 13:58:12,222 - root - INFO - OK, PA3Error2 18
2020-12-09 13:58:12,222 - root - INFO - OK, PA3Error3 24
2020-12-09 13:58:12,223 - root - INFO - OK, PA3Error4 30
2020-12-09 13:58:12,223 - root - INFO - OK, PA3Error5 6
2020-12-09 13:58:12,224 - root - INFO - OK, PA3Error6 12
2020-12-09 13:58:12,224 - root - INFO - OK, PA3Error7 18
2020-12-09 13:58:12,225 - root - INFO - OK, PA3Error8 24
2020-12-09 13:58:12,226 - root - INFO - OK, PA3Error9 30
2020-12-09 13:58:12,226 - root - INFO - OK, DCTRLerror0 6
2020-12-09 13:58:12,227 - root - INFO - OK, DCTRLerror1 12
2020-12-09 13:58:12,227 - root - INFO - OK, DCTRLerror2 18
2020-12-09 13:58:12,228 - root - INFO - OK, DCTRLerror3 24
2020-12-09 13:58:12,228 - root - INFO - OK, DCTRLerror4 30
2020-12-09 13:58:12,229 - root - INFO - OK, DCLKBerror0 0
2020-12-09 13:58:12,230 - root - INFO - OK, DCLKBerror1 0
2020-12-09 13:58:12,230 - root - INFO - OK, DCLKBerror2 0
2020-12-09 13:58:12,231 - root - INFO - OK, DCLKBerror3 0
2020-12-09 13:58:12,231 - root - INFO - OK, DCLKBerror4 0
