2020-11-24 11:27:15,483 - root - INFO - Start testAll
2020-11-24 11:27:15,483 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0373
2020-11-24 11:27:17,489 - root - INFO - CRU Version: AC12387
2020-11-24 11:27:17,489 - root - INFO - RDO Version: BED27B3
2020-11-24 11:27:17,491 - root - INFO - DNA = 0x400200010129974744d12285
2020-11-24 11:27:19,041 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-24 11:27:19,043 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-24 11:27:19,044 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-24 11:27:21,075 - root - INFO - GBTx0 locked to CRU
2020-11-24 11:27:21,077 - root - INFO - GBTx2 locked to CRU
2020-11-24 11:27:21,080 - root - INFO - GBTx0(adres=367=testFuse1) = 0xc4
2020-11-24 11:27:21,080 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-11-24 11:27:21,082 - root - INFO - GBTx1(adres=367=testFuse1) = 0x21
2020-11-24 11:27:21,083 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa7
2020-11-24 11:27:21,085 - root - INFO - GBTx2(adres=367=testFuse1) = 0x12
2020-11-24 11:27:21,086 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa7
2020-11-24 11:27:21,087 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-24 11:27:21,089 - root - INFO - Number of FEC Errors on GBTx0 at beginning of testAll = 33
2020-11-24 11:27:21,090 - root - INFO - Number of FEC Errors on GBTx2 at beginning of testAll = 33
2020-11-24 11:27:23,095 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-24 11:27:23,096 - root - INFO - MGT errors: 0
2020-11-24 11:27:23,097 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-24 11:27:23,097 - root - INFO - Disable DCLK
2020-11-24 11:27:23,097 - root - INFO - reset all prbs  receivers
2020-11-24 11:27:23,098 - root - INFO - clear all prbs error counters
2020-11-24 11:27:23,098 - root - INFO - inject errors
2020-11-24 11:27:23,100 - root - INFO - wait 5.0 seconds
2020-11-24 11:27:28,105 - root - INFO - sleep done
2020-11-24 11:27:28,106 - root - INFO - OK, smaError 6
2020-11-24 11:27:28,107 - root - INFO - OK, headerJ13Error0 6
2020-11-24 11:27:28,108 - root - INFO - OK, headerJ13Error1 12
2020-11-24 11:27:28,109 - root - INFO - OK, headerJ13Error2 18
2020-11-24 11:27:28,110 - root - INFO - OK, headerJ13Error3 24
2020-11-24 11:27:28,110 - root - INFO - OK, headerJ13Error4 30
2020-11-24 11:27:28,111 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-24 11:27:28,111 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-24 11:27:28,112 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-24 11:27:28,112 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-24 11:27:28,113 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-24 11:27:28,114 - root - INFO - OK, PA3Error0 6
2020-11-24 11:27:28,114 - root - INFO - OK, PA3Error1 12
2020-11-24 11:27:28,115 - root - INFO - OK, PA3Error2 18
2020-11-24 11:27:28,115 - root - INFO - OK, PA3Error3 24
2020-11-24 11:27:28,116 - root - INFO - OK, PA3Error4 30
2020-11-24 11:27:28,116 - root - INFO - OK, PA3Error5 6
2020-11-24 11:27:28,117 - root - INFO - OK, PA3Error6 12
2020-11-24 11:27:28,117 - root - INFO - OK, PA3Error7 18
2020-11-24 11:27:28,118 - root - INFO - OK, PA3Error8 24
2020-11-24 11:27:28,118 - root - INFO - OK, PA3Error9 30
2020-11-24 11:27:28,119 - root - INFO - OK, DCTRLerror0 6
2020-11-24 11:27:28,119 - root - INFO - OK, DCTRLerror1 12
2020-11-24 11:27:28,120 - root - INFO - OK, DCTRLerror2 18
2020-11-24 11:27:28,121 - root - INFO - OK, DCTRLerror3 24
2020-11-24 11:27:28,121 - root - INFO - OK, DCTRLerror4 30
2020-11-24 11:27:28,122 - root - INFO - OK, DCLKBerror0 0
2020-11-24 11:27:28,122 - root - INFO - OK, DCLKBerror1 0
2020-11-24 11:27:28,123 - root - INFO - OK, DCLKBerror2 0
2020-11-24 11:27:28,124 - root - INFO - OK, DCLKBerror3 0
2020-11-24 11:27:28,124 - root - INFO - OK, DCLKBerror4 0
2020-11-24 11:27:28,125 - root - INFO - OK, DCLKCerror0 0
2020-11-24 11:27:28,125 - root - INFO - OK, DCLKCerror1 0
2020-11-24 11:27:28,126 - root - INFO - OK, DCLKCerror2 0
2020-11-24 11:27:28,126 - root - INFO - OK, DCLKCerror3 0
2020-11-24 11:27:28,127 - root - INFO - OK, DCLKCerror4 0
2020-11-24 11:27:28,127 - root - INFO - OK, AUXerror0 6
2020-11-24 11:27:28,128 - root - INFO - OK, AUXerror1 12
2020-11-24 11:27:28,129 - root - INFO - OK, AUXerror2 18
2020-11-24 11:27:28,129 - root - INFO - OK, AUXerror3 24
2020-11-24 11:27:28,130 - root - INFO - OK, PUerror0 6
2020-11-24 11:27:28,130 - root - INFO - OK, PUerror1 12
2020-11-24 11:27:28,131 - root - INFO - OK, PUerror2 18
2020-11-24 11:27:28,131 - root - INFO - OK, PUerror3 24
2020-11-24 11:27:28,132 - root - INFO - OK, PUerror4 30
2020-11-24 11:27:28,132 - root - INFO - OK, PUerror5 36
2020-11-24 11:27:28,133 - root - INFO - OK, PUerror6 42
2020-11-24 11:27:28,133 - root - INFO - OK, PUerror7 48
2020-11-24 11:27:28,133 - root - INFO - Enable DCLK
2020-11-24 11:27:28,134 - root - INFO - reset all prbs  receivers
2020-11-24 11:27:28,134 - root - INFO - clear all prbs error counters
2020-11-24 11:27:28,134 - root - INFO - inject errors
2020-11-24 11:27:28,136 - root - INFO - wait 300 seconds
2020-11-24 11:27:28,136 - root - INFO - Number of GPIO Errors so far = 0
2020-11-24 11:27:28,136 - root - INFO - Number of MGT errors so far = 0
2020-11-24 11:32:28,927 - root - INFO - sleep done
2020-11-24 11:32:28,928 - root - INFO - OK, smaError 6
2020-11-24 11:32:28,929 - root - INFO - OK, headerJ13Error0 6
2020-11-24 11:32:28,930 - root - INFO - OK, headerJ13Error1 12
2020-11-24 11:32:28,930 - root - INFO - OK, headerJ13Error2 18
2020-11-24 11:32:28,931 - root - INFO - OK, headerJ13Error3 24
2020-11-24 11:32:28,932 - root - INFO - OK, headerJ13Error4 30
2020-11-24 11:32:28,932 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-24 11:32:28,933 - root - INFO - OK, PA3headerJ14Error1 12
