2020-11-20 16:56:48,171 - root - INFO - Start testAll
2020-11-20 16:56:48,171 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0375
2020-11-20 16:56:50,179 - root - INFO - CRU Version: AC12387
2020-11-20 16:56:50,205 - root - INFO - RDO Version: BED27B3
2020-11-20 16:56:50,208 - root - INFO - DNA = 0x40020001012947641c7120c5
2020-11-20 16:56:51,758 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-20 16:56:51,760 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-20 16:56:51,762 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-20 16:56:55,802 - root - INFO - GBTx0 locked to CRU
2020-11-20 16:56:55,804 - root - INFO - GBTx2 locked to CRU
2020-11-20 16:56:55,806 - root - INFO - GBTx0(adres=367=testFuse1) = 0x74
2020-11-20 16:56:55,807 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9b
2020-11-20 16:56:55,809 - root - INFO - GBTx1(adres=367=testFuse1) = 0x91
2020-11-20 16:56:55,810 - root - INFO - GBTx1(adres=368=testFuse2) = 0x9b
2020-11-20 16:56:55,812 - root - INFO - GBTx2(adres=367=testFuse1) = 0x82
2020-11-20 16:56:55,813 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9b
2020-11-20 16:56:55,814 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-20 16:56:57,819 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-20 16:56:57,820 - root - INFO - MGT errors: 0
2020-11-20 16:56:57,820 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-20 16:56:57,821 - root - INFO - Disable DCLK
2020-11-20 16:56:57,821 - root - INFO - reset all prbs  receivers
2020-11-20 16:56:57,822 - root - INFO - clear all prbs error counters
2020-11-20 16:56:57,822 - root - INFO - inject errors
2020-11-20 16:56:57,823 - root - INFO - wait 5.0 seconds
2020-11-20 16:57:02,826 - root - INFO - sleep done
2020-11-20 16:57:02,827 - root - INFO - OK, smaError 6
2020-11-20 16:57:02,827 - root - INFO - OK, headerJ13Error0 6
2020-11-20 16:57:02,828 - root - INFO - OK, headerJ13Error1 12
2020-11-20 16:57:02,829 - root - INFO - OK, headerJ13Error2 18
2020-11-20 16:57:02,829 - root - INFO - OK, headerJ13Error3 24
2020-11-20 16:57:02,830 - root - INFO - OK, headerJ13Error4 30
2020-11-20 16:57:02,830 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-20 16:57:02,830 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-20 16:57:02,831 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-20 16:57:02,831 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-20 16:57:02,831 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-20 16:57:02,831 - root - INFO - OK, PA3Error0 6
2020-11-20 16:57:02,831 - root - INFO - OK, PA3Error1 12
2020-11-20 16:57:02,831 - root - INFO - OK, PA3Error2 18
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error3 24
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error4 30
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error5 6
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error6 12
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error7 18
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error8 24
2020-11-20 16:57:02,832 - root - INFO - OK, PA3Error9 30
2020-11-20 16:57:02,832 - root - INFO - OK, DCTRLerror0 6
2020-11-20 16:57:02,833 - root - INFO - OK, DCTRLerror1 12
2020-11-20 16:57:02,833 - root - INFO - OK, DCTRLerror2 18
2020-11-20 16:57:02,833 - root - INFO - OK, DCTRLerror3 24
2020-11-20 16:57:02,833 - root - INFO - OK, DCTRLerror4 30
2020-11-20 16:57:02,833 - root - INFO - OK, DCLKBerror0 0
2020-11-20 16:57:02,833 - root - INFO - OK, DCLKBerror1 0
