2020-11-09 14:58:52,106 - root - INFO - Start testAll
2020-11-09 14:58:52,106 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0383
2020-11-09 14:58:54,113 - root - INFO - CRU Version: AC12387
2020-11-09 14:58:54,113 - root - INFO - RDO Version: BED27B3
2020-11-09 14:58:54,115 - root - INFO - DNA = 0x40020001012947641d50e445
2020-11-09 14:58:55,668 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-09 14:58:55,669 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-09 14:58:55,670 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-09 14:58:57,702 - root - INFO - GBTx0 locked to CRU
2020-11-09 14:58:57,719 - root - INFO - GBTx2 locked to CRU
2020-11-09 14:58:57,722 - root - INFO - GBTx0(adres=367=testFuse1) = 0xa5
2020-11-09 14:58:57,723 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9b
2020-11-09 14:58:57,725 - root - INFO - GBTx1(adres=367=testFuse1) = 0x61
2020-11-09 14:58:57,726 - root - INFO - GBTx1(adres=368=testFuse2) = 0x9b
2020-11-09 14:58:57,728 - root - INFO - GBTx2(adres=367=testFuse1) = 0xb8
2020-11-09 14:58:57,729 - root - INFO - GBTx2(adres=368=testFuse2) = 0x9b
2020-11-09 14:58:57,730 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-09 14:58:59,736 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-09 14:58:59,737 - root - INFO - MGT errors: 0
2020-11-09 14:58:59,738 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-09 14:58:59,738 - root - INFO - Disable DCLK
2020-11-09 14:58:59,739 - root - INFO - reset all prbs  receivers
2020-11-09 14:58:59,739 - root - INFO - clear all prbs error counters
2020-11-09 14:58:59,740 - root - INFO - inject errors
2020-11-09 14:58:59,741 - root - INFO - wait 5.0 seconds
2020-11-09 14:59:04,746 - root - INFO - sleep done
2020-11-09 14:59:04,747 - root - INFO - OK, smaError 6
2020-11-09 14:59:04,748 - root - INFO - OK, headerJ13Error0 6
2020-11-09 14:59:04,749 - root - INFO - OK, headerJ13Error1 12
2020-11-09 14:59:04,750 - root - INFO - OK, headerJ13Error2 18
2020-11-09 14:59:04,751 - root - INFO - OK, headerJ13Error3 24
2020-11-09 14:59:04,752 - root - INFO - OK, headerJ13Error4 30
2020-11-09 14:59:04,752 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-09 14:59:04,753 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-09 14:59:04,753 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-09 14:59:04,754 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-09 14:59:04,755 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-09 14:59:04,755 - root - INFO - OK, PA3Error0 6
2020-11-09 14:59:04,756 - root - INFO - OK, PA3Error1 12
2020-11-09 14:59:04,757 - root - INFO - OK, PA3Error2 18
2020-11-09 14:59:04,757 - root - INFO - OK, PA3Error3 24
2020-11-09 14:59:04,758 - root - INFO - OK, PA3Error4 30
2020-11-09 14:59:04,758 - root - INFO - OK, PA3Error5 6
2020-11-09 14:59:04,759 - root - INFO - OK, PA3Error6 12
2020-11-09 14:59:04,760 - root - INFO - OK, PA3Error7 18
2020-11-09 14:59:04,760 - root - INFO - OK, PA3Error8 24
2020-11-09 14:59:04,761 - root - INFO - OK, PA3Error9 30
2020-11-09 14:59:04,762 - root - INFO - OK, DCTRLerror0 6
2020-11-09 14:59:04,762 - root - INFO - OK, DCTRLerror1 12
2020-11-09 14:59:04,763 - root - INFO - OK, DCTRLerror2 18
2020-11-09 14:59:04,763 - root - INFO - OK, DCTRLerror3 24
2020-11-09 14:59:04,764 - root - INFO - OK, DCTRLerror4 30
2020-11-09 14:59:04,765 - root - INFO - OK, DCLKBerror0 0
2020-11-09 14:59:04,765 - root - INFO - OK, DCLKBerror1 0
2020-11-09 14:59:04,766 - root - INFO - OK, DCLKBerror2 0
