2020-11-06 15:00:24,070 - root - INFO - Start testAll
2020-11-06 15:00:24,070 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0384
2020-11-06 15:00:26,077 - root - INFO - CRU Version: AC12387
2020-11-06 15:00:26,077 - root - INFO - RDO Version: BED27B3
2020-11-06 15:00:26,080 - root - INFO - DNA = 0x400200018129974744e0a585
2020-11-06 15:00:27,639 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-06 15:00:27,640 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-06 15:00:27,641 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-06 15:00:31,684 - root - INFO - GBTx0 locked to CRU
2020-11-06 15:00:31,685 - root - INFO - GBTx2 locked to CRU
2020-11-06 15:00:31,688 - root - INFO - GBTx0(adres=367=testFuse1) = 0xcf
2020-11-06 15:00:31,688 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-11-06 15:00:31,690 - root - INFO - GBTx1(adres=367=testFuse1) = 0x7a
2020-11-06 15:00:31,691 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-11-06 15:00:31,693 - root - INFO - GBTx2(adres=367=testFuse1) = 0x63
2020-11-06 15:00:31,693 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-11-06 15:00:31,695 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-06 15:00:33,700 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-06 15:00:33,701 - root - INFO - MGT errors: 0
2020-11-06 15:00:33,702 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-06 15:00:33,702 - root - INFO - Disable DCLK
2020-11-06 15:00:33,702 - root - INFO - reset all prbs  receivers
2020-11-06 15:00:33,703 - root - INFO - clear all prbs error counters
2020-11-06 15:00:33,703 - root - INFO - inject errors
2020-11-06 15:00:33,704 - root - INFO - wait 5.0 seconds
2020-11-06 15:00:38,706 - root - INFO - sleep done
2020-11-06 15:00:38,707 - root - INFO - OK, smaError 6
2020-11-06 15:00:38,708 - root - INFO - OK, headerJ13Error0 6
2020-11-06 15:00:38,709 - root - INFO - OK, headerJ13Error1 12
2020-11-06 15:00:38,709 - root - INFO - OK, headerJ13Error2 18
2020-11-06 15:00:38,710 - root - INFO - OK, headerJ13Error3 24
2020-11-06 15:00:38,711 - root - INFO - OK, headerJ13Error4 30
2020-11-06 15:00:38,711 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-06 15:00:38,712 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-06 15:00:38,712 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-06 15:00:38,713 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-06 15:00:38,714 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-06 15:00:38,714 - root - INFO - OK, PA3Error0 6
2020-11-06 15:00:38,715 - root - INFO - OK, PA3Error1 12
2020-11-06 15:00:38,715 - root - INFO - OK, PA3Error2 18
2020-11-06 15:00:38,716 - root - INFO - OK, PA3Error3 24
2020-11-06 15:00:38,716 - root - INFO - OK, PA3Error4 30
2020-11-06 15:00:38,717 - root - INFO - OK, PA3Error5 6
2020-11-06 15:00:38,717 - root - INFO - OK, PA3Error6 12
2020-11-06 15:00:38,718 - root - INFO - OK, PA3Error7 18
2020-11-06 15:00:38,718 - root - INFO - OK, PA3Error8 24
2020-11-06 15:00:38,719 - root - INFO - OK, PA3Error9 30
2020-11-06 15:00:38,719 - root - INFO - OK, DCTRLerror0 6
2020-11-06 15:00:38,720 - root - INFO - OK, DCTRLerror1 12
2020-11-06 15:00:38,720 - root - INFO - OK, DCTRLerror2 18
2020-11-06 15:00:38,721 - root - INFO - OK, DCTRLerror3 24
2020-11-06 15:00:38,722 - root - INFO - OK, DCTRLerror4 30
2020-11-06 15:00:38,722 - root - INFO - OK, DCLKBerror0 0
2020-11-06 15:00:38,722 - root - INFO - OK, DCLKBerror1 0
