2020-11-06 15:55:49,796 - root - INFO - Start testAll
2020-11-06 15:55:49,796 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0386
2020-11-06 15:55:51,800 - root - INFO - CRU Version: AC12387
2020-11-06 15:55:51,800 - root - INFO - RDO Version: BED27B3
2020-11-06 15:55:51,801 - root - INFO - DNA = 0x400200018129974744210105
2020-11-06 15:55:53,353 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-06 15:55:53,354 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-06 15:55:53,356 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-06 15:55:57,397 - root - INFO - GBTx0 locked to CRU
2020-11-06 15:55:57,399 - root - INFO - GBTx2 locked to CRU
2020-11-06 15:55:57,401 - root - INFO - GBTx0(adres=367=testFuse1) = 0x8f
2020-11-06 15:55:57,401 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-11-06 15:55:57,404 - root - INFO - GBTx1(adres=367=testFuse1) = 0xbf
2020-11-06 15:55:57,404 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-11-06 15:55:57,406 - root - INFO - GBTx2(adres=367=testFuse1) = 0xa1
2020-11-06 15:55:57,407 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-11-06 15:55:57,408 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-06 15:55:59,414 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-06 15:55:59,415 - root - INFO - MGT errors: 0
2020-11-06 15:55:59,416 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-06 15:55:59,416 - root - INFO - Disable DCLK
2020-11-06 15:55:59,417 - root - INFO - reset all prbs  receivers
2020-11-06 15:55:59,417 - root - INFO - clear all prbs error counters
2020-11-06 15:55:59,418 - root - INFO - inject errors
2020-11-06 15:55:59,420 - root - INFO - wait 5.0 seconds
2020-11-06 15:56:04,425 - root - INFO - sleep done
2020-11-06 15:56:04,426 - root - INFO - OK, smaError 6
2020-11-06 15:56:04,427 - root - INFO - OK, headerJ13Error0 6
2020-11-06 15:56:04,428 - root - INFO - OK, headerJ13Error1 12
2020-11-06 15:56:04,429 - root - INFO - OK, headerJ13Error2 18
2020-11-06 15:56:04,429 - root - INFO - OK, headerJ13Error3 24
2020-11-06 15:56:04,430 - root - INFO - OK, headerJ13Error4 30
2020-11-06 15:56:04,431 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-06 15:56:04,431 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-06 15:56:04,432 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-06 15:56:04,432 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-06 15:56:04,433 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-06 15:56:04,434 - root - INFO - OK, PA3Error0 6
2020-11-06 15:56:04,434 - root - INFO - OK, PA3Error1 12
2020-11-06 15:56:04,435 - root - INFO - OK, PA3Error2 18
2020-11-06 15:56:04,435 - root - INFO - OK, PA3Error3 24
2020-11-06 15:56:04,436 - root - INFO - OK, PA3Error4 30
2020-11-06 15:56:04,437 - root - INFO - OK, PA3Error5 6
2020-11-06 15:56:04,437 - root - INFO - OK, PA3Error6 12
2020-11-06 15:56:04,438 - root - INFO - OK, PA3Error7 18
2020-11-06 15:56:04,438 - root - INFO - OK, PA3Error8 24
2020-11-06 15:56:04,438 - root - INFO - OK, PA3Error9 30
2020-11-06 15:56:04,438 - root - INFO - OK, DCTRLerror0 6
2020-11-06 15:56:04,438 - root - INFO - OK, DCTRLerror1 12
2020-11-06 15:56:04,439 - root - INFO - OK, DCTRLerror2 18
2020-11-06 15:56:04,439 - root - INFO - OK, DCTRLerror3 24
2020-11-06 15:56:04,439 - root - INFO - OK, DCTRLerror4 30
2020-11-06 15:56:04,439 - root - INFO - OK, DCLKBerror0 0
2020-11-06 15:56:04,439 - root - INFO - OK, DCLKBerror1 0
2020-11-06 15:56:04,440 - root - INFO - OK, DCLKBerror2 0
2020-11-06 15:56:04,440 - root - INFO - OK, DCLKBerror3 0
2020-11-06 15:56:04,440 - root - INFO - OK, DCLKBerror4 0
2020-11-06 15:56:04,440 - root - INFO - OK, DCLKCerror0 0
2020-11-06 15:56:04,440 - root - INFO - OK, DCLKCerror1 0
2020-11-06 15:56:04,441 - root - INFO - OK, DCLKCerror2 0
2020-11-06 15:56:04,441 - root - INFO - OK, DCLKCerror3 0
2020-11-06 15:56:04,441 - root - INFO - OK, DCLKCerror4 0
2020-11-06 15:56:04,441 - root - INFO - OK, AUXerror0 6
2020-11-06 15:56:04,442 - root - INFO - OK, AUXerror1 12
2020-11-06 15:56:04,442 - root - INFO - OK, AUXerror2 18
2020-11-06 15:56:04,442 - root - INFO - OK, AUXerror3 24
2020-11-06 15:56:04,442 - root - INFO - OK, PUerror0 6
2020-11-06 15:56:04,442 - root - INFO - OK, PUerror1 12
2020-11-06 15:56:04,442 - root - INFO - OK, PUerror2 18
2020-11-06 15:56:04,443 - root - INFO - OK, PUerror3 24
2020-11-06 15:56:04,443 - root - INFO - OK, PUerror4 30
2020-11-06 15:56:04,443 - root - INFO - OK, PUerror5 36
2020-11-06 15:56:04,443 - root - INFO - OK, PUerror6 42
2020-11-06 15:56:04,443 - root - INFO - OK, PUerror7 48
2020-11-06 15:56:04,443 - root - INFO - Enable DCLK
2020-11-06 15:56:04,443 - root - INFO - reset all prbs  receivers
2020-11-06 15:56:04,443 - root - INFO - clear all prbs error counters
2020-11-06 15:56:04,443 - root - INFO - inject errors
2020-11-06 15:56:04,444 - root - INFO - wait 300 seconds
2020-11-06 15:56:04,444 - root - INFO - Number of GPIO Errors so far = 0
2020-11-06 15:56:04,444 - root - INFO - Number of MGT errors so far = 0
2020-11-06 16:01:05,120 - root - INFO - sleep done
2020-11-06 16:01:05,121 - root - INFO - OK, smaError 6
2020-11-06 16:01:05,122 - root - INFO - OK, headerJ13Error0 6
2020-11-06 16:01:05,123 - root - INFO - OK, headerJ13Error1 12
2020-11-06 16:01:05,123 - root - INFO - OK, headerJ13Error2 18
2020-11-06 16:01:05,124 - root - INFO - OK, headerJ13Error3 24
2020-11-06 16:01:05,125 - root - INFO - OK, headerJ13Error4 30
2020-11-06 16:01:05,125 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-06 16:01:05,126 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-06 16:01:05,127 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-06 16:01:05,127 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-06 16:01:05,128 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-06 16:01:05,128 - root - INFO - OK, PA3Error0 6
2020-11-06 16:01:05,129 - root - INFO - OK, PA3Error1 12
2020-11-06 16:01:05,129 - root - INFO - OK, PA3Error2 18
2020-11-06 16:01:05,130 - root - INFO - OK, PA3Error3 24
2020-11-06 16:01:05,131 - root - INFO - OK, PA3Error4 30
2020-11-06 16:01:05,131 - root - INFO - OK, PA3Error5 6
2020-11-06 16:01:05,132 - root - INFO - OK, PA3Error6 12
2020-11-06 16:01:05,132 - root - INFO - OK, PA3Error7 18
2020-11-06 16:01:05,132 - root - INFO - OK, PA3Error8 24
2020-11-06 16:01:05,133 - root - INFO - OK, PA3Error9 30
2020-11-06 16:01:05,133 - root - INFO - OK, DCTRLerror0 6
2020-11-06 16:01:05,133 - root - INFO - OK, DCTRLerror1 12
2020-11-06 16:01:05,133 - root - INFO - OK, DCTRLerror2 18
2020-11-06 16:01:05,133 - root - INFO - OK, DCTRLerror3 24
2020-11-06 16:01:05,133 - root - INFO - OK, DCTRLerror4 30
2020-11-06 16:01:05,133 - root - INFO - OK, DCLKBerror0 6
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKBerror1 12
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKBerror2 18
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKBerror3 24
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKBerror4 30
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKCerror0 6
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKCerror1 12
2020-11-06 16:01:05,134 - root - INFO - OK, DCLKCerror2 18
2020-11-06 16:01:05,135 - root - INFO - OK, DCLKCerror3 24
