2020-11-10 09:13:54,106 - root - INFO - Start testAll
2020-11-10 09:13:54,106 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0387
2020-11-10 09:13:56,114 - root - INFO - CRU Version: AC12387
2020-11-10 09:13:56,114 - root - INFO - RDO Version: BED27B3
2020-11-10 09:13:56,117 - root - INFO - DNA = 0x40020001012947641d6124c5
2020-11-10 09:13:57,669 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-10 09:13:57,671 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-10 09:13:57,672 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-10 09:14:00,457 - root - INFO - GBTx0 locked to CRU
2020-11-10 09:14:00,458 - root - ERROR - GBTx2 didn't lock to CRU. Lock status = 0
2020-11-10 09:14:24,658 - root - INFO - Start testAll
2020-11-10 09:14:24,658 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0387
2020-11-10 09:14:26,665 - root - INFO - CRU Version: AC12387
2020-11-10 09:14:26,666 - root - INFO - RDO Version: BED27B3
2020-11-10 09:14:26,668 - root - INFO - DNA = 0x40020001012947641d6124c5
2020-11-10 09:14:28,222 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-10 09:14:28,223 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-10 09:14:28,224 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-10 09:14:32,264 - root - INFO - GBTx0 locked to CRU
2020-11-10 09:14:32,266 - root - INFO - GBTx2 locked to CRU
2020-11-10 09:14:32,268 - root - INFO - GBTx0(adres=367=testFuse1) = 0x99
2020-11-10 09:14:32,269 - root - INFO - GBTx0(adres=368=testFuse2) = 0xbb
2020-11-10 09:14:32,271 - root - INFO - GBTx1(adres=367=testFuse1) = 0x6d
2020-11-10 09:14:32,272 - root - INFO - GBTx1(adres=368=testFuse2) = 0xbb
2020-11-10 09:14:32,274 - root - INFO - GBTx2(adres=367=testFuse1) = 0x80
2020-11-10 09:14:32,275 - root - INFO - GBTx2(adres=368=testFuse2) = 0xbb
2020-11-10 09:14:32,276 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-10 09:14:34,281 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-10 09:14:34,282 - root - INFO - MGT errors: 0
2020-11-10 09:14:34,283 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-10 09:14:34,283 - root - INFO - Disable DCLK
2020-11-10 09:14:34,284 - root - INFO - reset all prbs  receivers
2020-11-10 09:14:34,284 - root - INFO - clear all prbs error counters
2020-11-10 09:14:34,284 - root - INFO - inject errors
2020-11-10 09:14:34,285 - root - INFO - wait 5.0 seconds
2020-11-10 09:14:39,289 - root - INFO - sleep done
2020-11-10 09:14:39,290 - root - INFO - OK, smaError 6
2020-11-10 09:14:39,291 - root - INFO - OK, headerJ13Error0 6
2020-11-10 09:14:39,292 - root - INFO - OK, headerJ13Error1 12
2020-11-10 09:14:39,292 - root - INFO - OK, headerJ13Error2 18
2020-11-10 09:14:39,293 - root - INFO - OK, headerJ13Error3 24
2020-11-10 09:14:39,293 - root - INFO - OK, headerJ13Error4 30
2020-11-10 09:14:39,294 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-10 09:14:39,294 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-10 09:14:39,294 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-10 09:14:39,295 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-10 09:14:39,295 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-10 09:14:39,295 - root - INFO - OK, PA3Error0 6
2020-11-10 09:14:39,295 - root - INFO - OK, PA3Error1 12
2020-11-10 09:14:39,295 - root - INFO - OK, PA3Error2 18
2020-11-10 09:14:39,295 - root - INFO - OK, PA3Error3 24
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error4 30
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error5 6
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error6 12
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error7 18
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error8 24
2020-11-10 09:14:39,296 - root - INFO - OK, PA3Error9 30
2020-11-10 09:14:39,296 - root - INFO - OK, DCTRLerror0 6
2020-11-10 09:14:39,297 - root - INFO - OK, DCTRLerror1 12
2020-11-10 09:14:39,297 - root - INFO - OK, DCTRLerror2 18
2020-11-10 09:14:39,297 - root - INFO - OK, DCTRLerror3 24
2020-11-10 09:14:39,297 - root - INFO - OK, DCTRLerror4 30
2020-11-10 09:14:39,297 - root - INFO - OK, DCLKBerror0 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKBerror1 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKBerror2 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKBerror3 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKBerror4 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKCerror0 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKCerror1 0
2020-11-10 09:14:39,298 - root - INFO - OK, DCLKCerror2 0
2020-11-10 09:14:39,299 - root - INFO - OK, DCLKCerror3 0
2020-11-10 09:14:39,299 - root - INFO - OK, DCLKCerror4 0
2020-11-10 09:14:39,299 - root - INFO - OK, AUXerror0 6
2020-11-10 09:14:39,299 - root - INFO - OK, AUXerror1 12
2020-11-10 09:14:39,299 - root - INFO - OK, AUXerror2 18
2020-11-10 09:14:39,299 - root - INFO - OK, AUXerror3 24
2020-11-10 09:14:39,299 - root - INFO - OK, PUerror0 6
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror1 12
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror2 18
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror3 24
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror4 30
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror5 36
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror6 42
2020-11-10 09:14:39,300 - root - INFO - OK, PUerror7 48
2020-11-10 09:14:39,300 - root - INFO - Enable DCLK
2020-11-10 09:14:39,300 - root - INFO - reset all prbs  receivers
2020-11-10 09:14:39,301 - root - INFO - clear all prbs error counters
2020-11-10 09:14:39,301 - root - INFO - inject errors
2020-11-10 09:14:39,301 - root - INFO - wait 300 seconds
2020-11-10 09:14:39,301 - root - INFO - Number of GPIO Errors so far = 0
2020-11-10 09:14:39,301 - root - INFO - Number of MGT errors so far = 0
2020-11-10 09:19:39,968 - root - INFO - sleep done
2020-11-10 09:19:39,969 - root - INFO - OK, smaError 6
2020-11-10 09:19:39,970 - root - INFO - OK, headerJ13Error0 6
2020-11-10 09:19:39,971 - root - INFO - OK, headerJ13Error1 12
2020-11-10 09:19:39,972 - root - INFO - OK, headerJ13Error2 18
2020-11-10 09:19:39,972 - root - INFO - OK, headerJ13Error3 24
2020-11-10 09:19:39,973 - root - INFO - OK, headerJ13Error4 30
2020-11-10 09:19:39,974 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-10 09:19:39,974 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-10 09:19:39,975 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-10 09:19:39,975 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-10 09:19:39,976 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-10 09:19:39,977 - root - INFO - OK, PA3Error0 6
2020-11-10 09:19:39,977 - root - INFO - OK, PA3Error1 12
2020-11-10 09:19:39,978 - root - INFO - OK, PA3Error2 18
