2020-11-06 10:50:37,172 - root - INFO - Start testAll
2020-11-06 10:50:37,172 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0389
2020-11-06 10:50:39,178 - root - INFO - CRU Version: AC12387
2020-11-06 10:50:39,178 - root - INFO - RDO Version: BED27B3
2020-11-06 10:50:39,181 - root - INFO - DNA = 0x40020001012947641c50a545
2020-11-06 10:50:40,731 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-06 10:50:40,733 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-06 10:50:40,734 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-06 10:50:44,774 - root - INFO - GBTx0 locked to CRU
2020-11-06 10:50:44,776 - root - INFO - GBTx2 locked to CRU
2020-11-06 10:50:44,778 - root - INFO - GBTx0(adres=367=testFuse1) = 0x4f
2020-11-06 10:50:44,778 - root - INFO - GBTx0(adres=368=testFuse2) = 0x9b
2020-11-06 10:50:44,781 - root - INFO - GBTx1(adres=367=testFuse1) = 0x56
2020-11-06 10:50:44,781 - root - INFO - GBTx1(adres=368=testFuse2) = 0xbb
2020-11-06 10:50:44,783 - root - INFO - GBTx2(adres=367=testFuse1) = 0x3a
2020-11-06 10:50:44,784 - root - INFO - GBTx2(adres=368=testFuse2) = 0x98
2020-11-06 10:50:44,785 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-06 10:50:46,791 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-06 10:50:46,792 - root - INFO - MGT errors: 0
2020-11-06 10:50:46,792 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-06 10:50:46,793 - root - INFO - Disable DCLK
2020-11-06 10:50:46,793 - root - INFO - reset all prbs  receivers
2020-11-06 10:50:46,794 - root - INFO - clear all prbs error counters
2020-11-06 10:50:46,794 - root - INFO - inject errors
2020-11-06 10:50:46,796 - root - INFO - wait 5.0 seconds
2020-11-06 10:50:51,801 - root - INFO - sleep done
2020-11-06 10:50:51,802 - root - INFO - OK, smaError 6
2020-11-06 10:50:51,802 - root - INFO - OK, headerJ13Error0 6
2020-11-06 10:50:51,803 - root - INFO - OK, headerJ13Error1 12
2020-11-06 10:50:51,803 - root - INFO - OK, headerJ13Error2 18
2020-11-06 10:50:51,803 - root - INFO - OK, headerJ13Error3 24
2020-11-06 10:50:51,803 - root - INFO - OK, headerJ13Error4 30
2020-11-06 10:50:51,803 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-06 10:50:51,804 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-06 10:50:51,804 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-06 10:50:51,804 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-06 10:50:51,804 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-06 10:50:51,804 - root - INFO - OK, PA3Error0 6
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error1 12
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error2 18
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error3 24
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error4 30
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error5 6
2020-11-06 10:50:51,805 - root - INFO - OK, PA3Error6 12
2020-11-06 10:50:51,806 - root - INFO - OK, PA3Error7 18
2020-11-06 10:50:51,806 - root - INFO - OK, PA3Error8 24
2020-11-06 10:50:51,806 - root - INFO - OK, PA3Error9 30
2020-11-06 10:50:51,806 - root - INFO - OK, DCTRLerror0 6
2020-11-06 10:50:51,806 - root - INFO - OK, DCTRLerror1 12
2020-11-06 10:50:51,807 - root - INFO - OK, DCTRLerror2 18
2020-11-06 10:50:51,807 - root - INFO - OK, DCTRLerror3 24
2020-11-06 10:50:51,807 - root - INFO - OK, DCTRLerror4 30
2020-11-06 10:50:51,807 - root - INFO - OK, DCLKBerror0 0
2020-11-06 10:50:51,807 - root - INFO - OK, DCLKBerror1 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKBerror2 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKBerror3 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKBerror4 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKCerror0 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKCerror1 0
2020-11-06 10:50:51,808 - root - INFO - OK, DCLKCerror2 0
2020-11-06 10:50:51,809 - root - INFO - OK, DCLKCerror3 0
2020-11-06 10:50:51,809 - root - INFO - OK, DCLKCerror4 0
2020-11-06 10:50:51,809 - root - INFO - OK, AUXerror0 6
2020-11-06 10:50:51,809 - root - INFO - OK, AUXerror1 12
2020-11-06 10:50:51,809 - root - INFO - OK, AUXerror2 18
2020-11-06 10:50:51,810 - root - INFO - OK, AUXerror3 24
2020-11-06 10:50:51,810 - root - INFO - OK, PUerror0 6
2020-11-06 10:50:51,810 - root - INFO - OK, PUerror1 12
2020-11-06 10:50:51,810 - root - INFO - OK, PUerror2 18
2020-11-06 10:50:51,810 - root - INFO - OK, PUerror3 24
2020-11-06 10:50:51,810 - root - INFO - OK, PUerror4 30
2020-11-06 10:50:51,811 - root - INFO - OK, PUerror5 36
2020-11-06 10:50:51,811 - root - INFO - OK, PUerror6 42
2020-11-06 10:50:51,811 - root - INFO - OK, PUerror7 48
2020-11-06 10:50:51,811 - root - INFO - Enable DCLK
2020-11-06 10:50:51,811 - root - INFO - reset all prbs  receivers
2020-11-06 10:50:51,811 - root - INFO - clear all prbs error counters
2020-11-06 10:50:51,811 - root - INFO - inject errors
2020-11-06 10:50:51,812 - root - INFO - wait 300 seconds
2020-11-06 10:50:51,812 - root - INFO - Number of GPIO Errors so far = 0
2020-11-06 10:50:51,812 - root - INFO - Number of MGT errors so far = 0
2020-11-06 10:55:52,552 - root - INFO - sleep done
2020-11-06 10:55:52,553 - root - INFO - OK, smaError 6
2020-11-06 10:55:52,554 - root - INFO - OK, headerJ13Error0 6
2020-11-06 10:55:52,555 - root - INFO - OK, headerJ13Error1 12
2020-11-06 10:55:52,556 - root - INFO - OK, headerJ13Error2 18
2020-11-06 10:55:52,557 - root - INFO - OK, headerJ13Error3 24
2020-11-06 10:55:52,557 - root - INFO - OK, headerJ13Error4 30
2020-11-06 10:55:52,558 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-06 10:55:52,559 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-06 10:55:52,559 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-06 10:55:52,560 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-06 10:55:52,561 - root - INFO - OK, PA3headerJ14Error4 30
